Date,Season,Chennai,Chennai_Trend,Chennai_SMA,Chennai_EWMA,Chennai_DES,Chennai_TES,Chennai_ARIMA
2012-08-31,MONSOON,4.014047619047618,3.9376091269841265,3.4365674603174567,3.7791349373596477,3.62035290484833,3.718525857902336,3.636274350654555
2012-11-30,POMKH,3.443333333333333,4.205494227994228,3.78865079365079,3.6448142957491214,3.578689889500607,2.51310972618255,1.9863289301793505
2013-02-28,POMRB,4.426666666666666,4.370790043290043,4.086567460317457,3.957555244116139,3.7789874065333415,3.9266753403762706,3.311888911818345
2013-05-31,PREMON,5.413636363636364,4.495492424242424,4.324420995670993,4.539987691924229,4.164994661911378,4.819504579898109,4.345599264654549
2013-08-31,MONSOON,4.385,4.458773674242424,4.417159090909088,4.4779926151545375,4.2170725832318325,4.534694899509402,3.9440114838167575
2013-11-30,POMKH,4.069999999999999,4.357017045454545,4.573825757575755,4.314795569092722,4.182499405620708,3.1880971565246985,3.2480252709969273
2014-02-28,POMRB,3.50625,4.3634375,4.343721590909089,3.9913773414556335,4.0230068739761355,4.586339886656793,4.142315393104172
2014-05-31,PREMON,5.5200000000000005,4.215173611111111,4.370312499999998,4.60282640487338,4.3765273041689365,4.978113277894767,4.5301727611222695
2014-08-31,MONSOON,4.329999999999999,5.265503472222221,4.356562499999997,4.493695842924027,4.365694456696191,4.676736288520887,4.032174091820355
2014-11-30,POMKH,2.9388888888888887,6.395404040404039,4.07378472222222,3.871773061309972,4.029030963595388,3.2676552127129685,3.6623049784274846
2015-02-28,POMRB,13.04,6.452460858585858,6.457222222222219,7.539063836785983,6.156310478679422,4.2819854821148775,2.8181692611428866
2015-05-31,PREMON,5.0254545454545445,6.852585858585859,6.333585858585855,6.533620120253408,5.889570793815759,7.793497091575601,7.960834052357609
2015-08-31,MONSOON,5.2810000000000015,6.269953790133478,6.571335858585856,6.032572072152045,5.746113245405811,6.442516193451142,3.795828194567669
2015-11-30,POMKH,5.188888888888889,5.211744070165945,7.133835858585856,5.695098798846782,5.6147716719175556,4.775062172579184,3.0205704312798165
2016-02-29,POMRB,6.128943452380952,4.892985863095238,5.406071721681094,5.86863666026045,5.736340742081475,6.024874379632181,11.990117230852693
2016-05-31,PREMON,3.470833333333333,4.574603287337663,5.017416418650791,4.9095153294896035,5.201739324524801,6.79215364172534,2.670143402571215
2016-08-31,MONSOON,4.285555555555555,4.106616668921356,4.768555307539679,4.659931419915984,4.985642614096505,5.265724129797494,4.240277552847726
2016-11-30,POMKH,3.637272727272727,4.097977904040404,4.380651267135638,4.250867942858681,4.667516060789717,3.655776827210338,4.354873899864733
2017-02-28,POMRB,3.9366666666666665,4.572679292929292,3.8325820707070672,4.125187432381876,4.495151258203147,4.768493622901132,4.97224941472676
2017-05-31,PREMON,5.593999999999999,4.731700757575758,4.363373737373735,4.712712459429126,4.754701440293395,5.238993089834585,2.542514498290648
2017-08-31,MONSOON,5.96,4.693440476190476,4.781984848484846,5.211627475657475,5.0393892265004165,4.878355081517049,4.507651107119794
2017-11-30,POMKH,3.2350000000000003,4.794214285714286,4.681416666666665,4.420976485394485,4.6136160053022826,3.9222246208347986,3.848273542035649
2018-02-28,POMRB,4.032857142857143,4.750464285714285,4.705464285714283,4.265728748379548,4.476679914990601,4.822885020234682,3.4005806517902624
2018-05-31,PREMON,6.3039999999999985,4.895839285714285,4.882964285714284,5.0810372490277285,4.90819335015551,5.306639295050625,4.9897289384154035
2018-08-31,MONSOON,4.9,,4.617964285714283,5.008622349416637,4.906427942110355,5.149696592333826,5.579474588996981
2018-11-30,POMKH,5.457999999999998,,5.173714285714283,5.188373409649982,,3.7713875470350198,2.6998178032049367
