Date,Season,Gondiya,Tirora,Goregaon,Deori,Amgaon,Sadak-arjuni,Arjuni Morgaon,Salekasa,Gondiya_Trend,Gondiya_SMA,Gondiya_EWMA,Gondiya_DES,Gondiya_TES,Gondiya_ARIMA,Tirora_Trend,Tirora_SMA,Tirora_EWMA,Tirora_DES,Tirora_TES,Tirora_ARIMA,Goregaon_Trend,Goregaon_SMA,Goregaon_EWMA,Goregaon_DES,Goregaon_TES,Goregaon_ARIMA,Deori_Trend,Deori_SMA,Deori_EWMA,Deori_DES,Deori_TES,Deori_ARIMA,Amgaon_Trend,Amgaon_SMA,Amgaon_EWMA,Amgaon_DES,Amgaon_TES,Amgaon_ARIMA,Sadak-arjuni_Trend,Sadak-arjuni_SMA,Sadak-arjuni_EWMA,Sadak-arjuni_DES,Sadak-arjuni_TES,Sadak-arjuni_ARIMA,Arjuni Morgaon_Trend,Arjuni Morgaon_SMA,Arjuni Morgaon_EWMA,Arjuni Morgaon_DES,Arjuni Morgaon_TES,Arjuni Morgaon_ARIMA,Salekasa_Trend,Salekasa_SMA,Salekasa_EWMA,Salekasa_DES,Salekasa_TES,Salekasa_ARIMA
2003-08-31,MONSOON,2.365,1.6775,3.665,4.4625,1.62,3.61,3.9716666666666662,1.82,4.880625,4.74125,4.447184379020445,4.82882185376103,1.9634623039133423,1.64567394956814,3.6705,3.7988750000000002,3.497478948168734,3.9765122849774435,1.646747974408945,1.8272383511955324,5.444999999999999,5.738749999999999,5.474825755828961,6.525331847376786,2.5289700466952505,2.3365357784628054,6.242388392857143,6.159017857142859,6.0588703326639655,6.430717169464983,3.535071778632682,3.001049254066536,2.96375,3.27,3.1612293409483896,4.014966207156077,1.0108946065238607,0.8663565479515667,5.344166666666666,5.800000000000001,5.604460179938888,6.230307460479076,3.5114029510622995,2.338092054773173,6.602291666666667,6.598333333333334,6.250492847432493,6.639152977594577,3.2023959555387163,3.061393016189605,7.836927083333332,6.787219551282051,6.311426900606325,9.98506222147014,2.7659306106136796,2.8645319879665507
2003-11-30,POMKH,3.725,2.87,3.525,4.725714285714285,0.85,3.6733333333333333,5.321666666666666,6.11,4.978541666666667,4.616250000000001,4.158310627412267,4.443980143802676,3.932151627580709,4.331694127203533,3.548875,3.804875,3.2464873689012403,3.3582063055525353,2.8471826654251737,2.741672236212189,5.105625000000001,5.582499999999998,4.694895453497377,5.093468370412399,4.599353326775665,4.604548012749481,6.273705357142859,6.182232142857145,5.525607913884093,5.463348609613501,5.409582651251112,5.185767800053681,2.5,3.0575,2.2367376045690337,3.026050739771696,1.4305557427366469,1.2901253455918982,5.118333333333333,5.510000000000001,4.832009441296666,5.428097496508169,4.66841203177613,4.848880587617007,6.322916666666666,6.703749999999999,5.878962375126163,6.541167143841479,5.344390231780285,5.314636996784195,7.8425,7.361354166666667,6.2308561403637945,9.174688675528298,4.623792635894601,4.519262623383254
2004-02-29,POMRB,6.065,3.175,4.75,6.98625,2.05,4.84,6.454999999999999,9.3,4.687083333333334,5.145000000000001,4.9209863764473605,4.889771134371155,5.564059170893866,5.15353512272045,3.491203125,3.536125,3.217892421340744,3.108269932087466,4.076637022063087,3.7047356536355105,4.726562500000001,5.307499999999997,4.716937272098426,4.733049148164184,5.535537873165013,5.089871064347463,6.625386904761906,6.302544642857145,6.109864748330455,6.126492516339109,6.529262125800687,6.36732519319377,2.043125,2.87,2.16204256274142,2.639604333695007,2.6203934436356775,2.116020612995279,4.960729166666667,5.178333333333334,4.835205664778,5.092355667088437,5.758621906550237,5.252885821015953,5.9684285714285705,6.500833333333333,6.109377425075698,6.620479202659671,6.893009759430355,6.994209858130403,7.368124999999999,8.312500000000002,7.458513684218277,10.1591458818116,6.525571622525287,6.344687539813572
2004-05-31,PREMON,7.093333333333334,6.523999999999999,7.6750000000000025,8.805000000000003,4.0,8.11,8.831666666666663,12.26,4.605104166666667,4.812083333333335,5.78992515920175,5.662596825608119,7.806671001437989,8.175311051338731,3.3898437499999994,3.5616250000000003,4.540335452804446,5.146136772836287,6.118178321856589,5.878937429288352,4.593750000000001,4.903749999999999,5.9001623632590565,6.3407296433575935,8.51927667693595,8.26771942188074,7.367693452380953,6.244866071428575,7.187918848998274,7.844629827823162,9.498135157955724,9.719816867370916,2.0359374999999997,2.13,2.897225537644852,3.1340724385576473,5.222544603452005,4.811453782626557,4.908229166666666,5.058333333333334,6.145123398866799,5.846365887081263,8.500500863538127,8.938620378891798,5.729245535714286,6.144999999999998,7.198293121712084,7.08672640715143,10.227067436423072,10.188069889953498,7.31625,7.372500000000001,9.379108210530966,12.604559655817232,13.629237730962895,13.690630263366709
2004-08-31,MONSOON,1.3650000000000002,1.114125,2.2475,7.506666666666668,0.925,2.8291666666666666,2.5590952380952383,1.785,4.704583333333334,4.562083333333334,4.01995509552105,4.444924951538731,2.0178176004359076,1.5622249744596663,3.56078125,3.42078125,3.169851271682668,3.361106279918068,1.5445680508663016,1.8315834207980346,4.853750000000001,4.549374999999999,4.439097417955434,4.341466325487811,2.5120748981291867,2.2383693195613654,7.755781250000001,7.005907738095242,7.315417976065632,8.265519055697352,3.571028972066808,3.159745646729584,2.265625,1.95625,2.1083353225869113,2.3130866317881056,1.0325721152114653,0.9992636396540951,5.267083333333334,4.863125,4.8187407059867455,4.927822457682977,2.718082480313382,2.3738210210752015,5.818717261904761,5.791857142857141,5.342613968265345,6.480572283710087,2.9434058955816598,2.8754254001734294,6.953125,7.363750000000001,6.341464926318579,7.78854181459651,2.6713972829614514,2.580642065074696
2004-11-30,POMKH,4.069166666666667,2.6225,3.88,7.62,1.4874999999999998,4.034166666666667,4.8207738095238115,5.73,4.824375000000001,4.648125,4.039639723979297,4.2379117607431525,3.9865069197549206,3.9269940496338926,3.7305937499999997,3.3589062499999995,2.9509107630096008,2.857043137074982,2.6224704062336217,2.5705524438784013,5.1,4.638124999999999,4.21545845077326,3.8259647673505506,3.8319877644071014,3.6466456296815286,7.9244940476190475,7.72947916666667,7.437250785639379,8.459446917976859,6.945595775615128,6.513813787863456,2.684375,2.115625,1.8600011935521468,1.8790907301769844,1.2197993917726475,1.322396010138474,5.5562499999999995,4.953333333333334,4.504911090258714,4.5010044864388306,3.8802414729956443,4.098609830918743,6.013925595238096,5.666633928571427,5.133877904768732,6.253857350646234,4.810511797699978,4.830010178071544,7.1075,7.268750000000001,6.096878955791148,6.383999602229319,5.520615139853788,5.359895499289184
2005-02-28,POMRB,6.516666666666668,4.79,6.475,7.196666666666665,3.25,7.35,7.671666666666668,6.775,4.828749999999999,4.761041666666667,5.030450501054245,4.892881952833503,5.618414464263316,5.501025445555783,3.650515625,3.762656249999999,3.6865464578057603,3.850985241370444,3.8458704151638328,3.506335395575608,5.0828125,5.069374999999999,5.1192750704639565,5.118208499313074,5.0315236191787776,5.09294096238352,7.555357142857142,7.782083333333336,7.341017138050294,8.1676069358841,8.742583422987648,8.22292185230193,2.92375,2.4156250000000004,2.416000716131288,2.2708096230066026,2.4513637191619813,2.2734287403993423,5.430104166666666,5.5808333333333335,5.642946654155228,5.184894786823034,5.444320518613542,5.361966814642218,5.984038690476192,5.970800595238094,6.148993409527906,6.503086619015226,6.366991500438116,6.525883779357623,7.581875,6.6375,6.368127373474689,6.105417552180449,7.75405887726995,7.7009137216085035
2005-05-31,PREMON,7.6,6.2675,7.92,9.944285714285714,6.15,7.913333333333332,9.176666666666668,16.02,4.7015625000000005,4.887708333333334,6.058270300632547,5.8865792889257875,7.861026296446012,7.955243076023673,3.5701875000000003,3.698531249999999,4.718927874683456,5.675443974742218,6.377803103087317,6.585061090734586,4.975625,5.130624999999998,6.2395650422783735,7.15640613867176,8.39409333026335,8.693498230670988,6.674880952380952,8.066904761904762,8.382324568544462,9.53966022907213,10.712699885810897,10.31953807178173,2.8309375,2.9531250000000004,3.909600429678773,4.018440609452011,5.021867147194019,5.460174560038098,5.267604166666667,5.531666666666666,6.551101325826469,6.026935202780527,9.350990444957784,10.218633042463702,5.813787202380954,6.0570505952380955,7.36006271238341,6.996346314336115,10.116315788498348,10.04529808204232,7.63375,7.577500000000001,10.228876424084813,12.343461950675525,12.62883063267513,14.573430815508566
2005-08-31,MONSOON,0.8933333333333334,0.73,1.865,3.414285714285714,0.69,2.016666666666667,1.975,1.82,4.3125,4.769791666666668,3.9922955137128615,4.519954879918642,2.072172897309344,1.6169779414962435,3.406625,3.602499999999999,3.1233567248100735,3.5416540349454144,1.6670665305001273,1.5904799442853226,4.703749999999999,5.034999999999998,4.489739025367024,4.866160214063455,2.5842148220891916,2.3350300977808938,6.243712797619047,7.043809523809523,6.395109026840963,6.599898001054486,4.748055517475519,4.400798049668942,2.88625,2.894375,2.6217602578072636,3.1292271893252788,1.1374436925414915,1.058600481599537,4.962916666666666,5.328541666666666,4.737327462162548,4.947085769316727,3.1367066292363157,2.381348994768964,5.491517857142858,5.911026785714286,5.206037627430046,6.27233326313905,2.9412558885778615,2.919910966563352,7.996874999999999,7.586250000000001,6.865325854450887,8.064799461798568,2.5698144169323376,2.2524087881722306
2005-11-30,POMKH,3.523333333333333,2.364,3.405,4.668571428571427,0.98,3.546666666666667,4.042857142857144,6.11,3.747916666666667,4.633333333333335,3.8047106415610505,4.144431471899366,4.0408622144589526,3.8635558169568425,3.134125,3.537874999999999,2.819614034886044,2.8251699452597565,2.610366932585463,2.4443510473254633,4.40125,4.916249999999999,4.055843415220215,3.973779909163935,3.8954044193757733,3.5917337857649754,6.086874999999999,6.305952380952379,5.704493987533148,5.202219657539294,5.495010761539458,5.010923214171263,2.89375,2.7675,1.9650561546843583,2.407205659875498,1.370875986598718,1.1886474942878702,4.6554166666666665,5.206666666666666,4.261063143964195,4.4461237129644635,3.7911286301651375,3.5970115457402896,5.080119047619048,5.71654761904762,4.740765433600885,5.907575584666407,4.669689320195975,4.752612684371167,7.3725000000000005,7.681250000000001,6.563195512670532,7.063908902233803,5.881907090302704,6.242240956920635
