Date,Season,Muktsar,Kot Bhai,Lambi,Malout,Muktsar_Trend,Muktsar_SMA,Muktsar_EWMA,Muktsar_DES,Muktsar_TES,Muktsar_ARIMA,Kot Bhai_Trend,Kot Bhai_SMA,Kot Bhai_EWMA,Kot Bhai_DES,Kot Bhai_TES,Kot Bhai_ARIMA,Lambi_Trend,Lambi_SMA,Lambi_EWMA,Lambi_TES,Lambi_ARIMA,Malout_Trend,Malout_SMA,Malout_EWMA,Malout_DES,Malout_TES,Malout_ARIMA
2000-08-31,MONSOON,2.5185714285714282,4.9154437229437224,2.725,1.06,2.4299776785714284,2.4411309523809512,2.4537084522920005,2.42502156452919,2.36272666331524,2.3106559195388083,4.369419763966192,4.369419763966192,4.561372156658678,4.278174191332413,5.0179425468754495,4.863083263620451,2.4182291666666664,2.557916666666668,2.6767129291665364,2.601551534779161,2.4886953151145432,1.464375,1.4312500000000001,1.2962342224838852,1.2800526854725702,1.732182019471612,1.481695663568622
2000-11-30,POMKH,2.38125,4.170779993815708,2.115,1.6966666666666663,2.483571428571428,2.4185267857142847,2.4247250713752004,2.4145135755763523,2.5168654073028325,2.5436979576221277,4.369419763966192,4.369419763966192,4.40513529152149,4.182915234868611,4.27428422334922,4.132668782436363,2.3589583333333333,2.411666666666668,2.4520277574999216,2.659418263228668,2.662023190375404,1.4823958333333334,1.4629166666666666,1.4564072001569976,1.4146476961067262,1.2209538104888118,1.1670335970512402
2001-02-28,POMRB,2.24875,3.856611904761905,2.3525,1.586666666666667,2.484799107142857,2.4414285714285704,2.35433504282512,2.364603096772783,2.2761115007563593,2.431099880210049,4.369419763966192,4.369419763966192,4.185725936817656,4.020580911678865,3.9607737970205528,3.825011839739028,2.146875,2.4247916666666676,2.412216654499953,2.0831626366730225,2.2607854097865636,1.6186458333333333,1.4658333333333333,1.5085109867608653,1.4661796383599395,1.3085636726914358,1.6489170815715566
2001-05-31,PREMON,2.954285714285714,4.534843434343434,1.98,1.6525,2.4604464285714283,2.5257142857142845,2.594315311409358,2.558524137206443,2.5109586808067115,2.2974934457888265,4.369419763966192,4.369419763966192,4.325372935827968,4.117529381784215,4.639334268614299,4.492855778968003,2.099375,2.293125000000001,2.2393299926999717,2.3379272764820045,2.328057436406861,1.7706250000000001,1.4989583333333332,1.5661065920565191,1.5222972898603582,1.6701595794764243,1.31886851523759
2001-08-31,MONSOON,2.19125,4.9154437229437224,1.5550000000000002,2.0175,2.4712276785714287,2.4438839285714273,2.4330891868456144,2.4437684514410156,2.5447423622516987,2.498159873473181,4.332968275870955,4.369419763966192,4.56140125067427,4.305619595257536,5.019968413312215,4.87313785071458,2.2278124999999998,2.000625000000001,1.9655979956199832,2.1837594015864403,2.0727596798245655,1.7911458333333334,1.7383333333333328,1.7466639552339114,1.6822783168499051,1.8415661373031367,1.7478023367536677
2001-11-30,POMKH,2.51375,4.170779993815708,2.905,1.955,2.4095982142857144,2.4770089285714274,2.4653535121073684,2.470015224958133,2.5282820986001218,2.613622715912755,4.177473858482787,4.369419763966192,4.405152747930845,4.209584703830852,4.275049018126213,4.139644016054273,2.3637499999999996,2.198125000000001,2.34135879737199,1.6852313763260702,1.692986484708964,1.766875,1.8029166666666663,1.8299983731403469,1.7665347511311484,1.6873240157702916,1.6210217689769624
2002-02-28,POMRB,2.2025,3.5650000000000004,2.59,1.4925,2.4839062500000004,2.4654464285714277,2.360212107264421,2.387335786378771,2.328084223005179,2.289936210670539,3.974000463821892,4.296516787775716,4.069091648758507,3.956139311095146,3.9603418080149138,3.829850331496041,2.6347916666666666,2.257500000000001,2.4408152784231936,2.4098550558731073,2.581990134783321,1.890625,1.7793749999999997,1.694999023884208,1.6661038977410292,1.6873676972540186,1.9394230089787357
2002-05-31,PREMON,2.5075,3.5825,2.83,1.5525,2.710736607142857,2.3537499999999993,2.4191272643586528,2.429700377981304,2.530032370096405,2.357557642115475,3.9063474992269636,4.058430929189858,3.8744549892551037,3.7845157436610215,4.621613938131413,4.3815779625869755,2.8272916666666665,2.470000000000001,2.5964891670539165,2.5995753634437486,2.587865316309264,2.28,1.7543749999999996,1.6379994143305248,1.6202098655535888,1.8498823715793113,1.4864236158943065
2002-08-31,MONSOON,3.2325,4.24,2.873333333333333,3.1075,2.910379464285714,2.6140624999999993,2.7444763586151915,2.692526440954134,2.4077796118613057,2.2941172691167226,3.95484375,3.889569998453927,4.020672993553062,3.8683777935296293,4.948505302278644,4.540951929580357,2.9008333333333334,2.7995833333333344,2.7072268335656835,2.880625139447319,2.765469455945426,2.732395833333334,2.0268749999999995,2.225799648598315,2.1141612509091208,1.9035489544634128,1.8094093953048507
2002-11-30,POMKH,3.287142857142857,4.305,3.1266666666666665,3.98,3.157410714285714,2.8074107142857136,2.961542958026258,2.888530515598269,2.785953697788921,2.7612002915539215,4.10765625,3.923125,4.134403796131837,3.949327373273063,4.165572071625513,4.007656219081014,2.9458333333333333,2.8550000000000013,2.8750027668060767,2.842744641560893,2.8445868746039102,3.0716666666666668,2.5331249999999996,2.9274797891589888,2.7334622246449722,2.182016364940057,2.3189642083836874
