Date,Season,Shahpur,Shorapur,Yadgir,Shahpur_Trend,Shahpur_SMA,Shahpur_EWMA,Shahpur_DES,Shahpur_TES,Shahpur_ARIMA,Shorapur_Trend,Shorapur_SMA,Shorapur_EWMA,Shorapur_DES,Shorapur_TES,Shorapur_ARIMA,Yadgir_Trend,Yadgir_SMA,Yadgir_EWMA,Yadgir_DES,Yadgir_TES,Yadgir_ARIMA
1998-08-31,MONSOON,6.561,3.5645454545454536,5.894,5.820874999999999,6.198818181818182,6.640423970303999,6.596686966867927,5.760776365098479,6.127506061844254,3.6839330808080804,4.378882575757577,4.423215799100507,4.506093793307454,4.501979225625661,4.013368115896942,6.1087083333333325,7.055499999999999,7.101240808623544,7.0500983224120155,7.224903023824815,5.894828458967174
1998-11-30,POMKH,3.8125,1.9244444444444444,2.908333333333333,5.649738636363637,5.845193181818182,5.5092543821824,5.468877770402023,5.814891194691666,5.002714327466309,3.3051452020202015,4.029766414141415,3.4237072572380822,4.090885652321243,3.817392152188212,3.055696573220933,5.781833333333333,6.305583333333333,5.42407781850746,6.274758360395415,5.395334450410012,5.093959842026276
1999-02-28,POMRB,5.1427272727272735,3.0325,5.44,5.371902597402598,5.796556818181819,5.362643538400349,5.101472161173836,5.895249199919743,4.6392811260807445,3.4376641414141416,3.3380997474747476,3.2672243543428494,3.87289569837976,4.212552593338512,4.368006796987594,5.83925,5.911833333333333,5.430446691104476,6.117851516824805,5.5761988530517606,5.0039332822232545
1999-05-31,PREMON,6.495454545454546,4.5672727272727265,8.365,5.318072240259741,5.502920454545456,5.815767941222028,5.411408438362604,7.33229947188566,7.431420011773746,3.799769570707071,3.2721906565656567,3.7872437035148003,3.9049340195225777,5.394175607151079,5.204318833424512,6.419375,5.651833333333332,6.6042680146626855,6.537208017475919,7.469544690617394,8.772097481771425
1999-08-31,MONSOON,5.512857142857144,4.8883333333333345,7.393333333333333,5.375439664502165,5.240884740259742,5.694603621876075,5.325767918968429,4.9626655727550215,5.961371873041312,4.089526515151515,3.603137626262627,4.227679555442213,3.990027400325272,4.183459711554025,3.7799113104530573,6.991833333333333,6.0266666666666655,6.919894142130945,6.696421274569403,5.872379505862728,6.014616742943502
1999-11-30,POMKH,4.43,3.4975,6.05,5.432822385947387,5.395259740259742,5.188762173125645,4.851553191483721,4.945295238257208,3.332744972139006,4.34433170995671,3.9964015151515153,3.935607733265328,3.86727674250364,3.6096614559827827,3.1572602413957025,7.352922619047619,6.812083333333332,6.571936485278567,6.574673371227447,5.368703558563599,4.853911884541977
2000-02-29,POMRB,4.984166666666668,3.7775,6.877999999999999,5.4331295787545795,5.35561958874459,5.106923970542054,4.720287077904086,5.450819893779244,5.307699965906174,4.313720238095239,4.182651515151516,3.872364639959197,3.799402839565525,4.124952394360814,4.523247297582858,7.389313988095238,7.171583333333332,6.69436189116714,6.630521594061098,7.0225810155835235,6.925543531846938
2000-05-31,PREMON,7.113076923076923,5.860714285714287,9.815714285714286,5.44569826007326,5.5100251831501845,5.909385151556002,5.548008235000373,6.969601164161467,6.303803828481465,4.067455357142857,4.506011904761906,4.667704498261233,4.054911102417454,5.362741989533829,5.284619153331243,7.188810515873016,7.5342619047619035,7.942902848985998,7.225202290522908,8.912029796900153,8.962193182360764
2000-08-31,MONSOON,4.897692307692308,3.35,6.23375,5.544537545787546,5.356233974358975,5.504708014010524,5.3507142865424,4.880244849575785,5.700507280888303,4.0171875,4.121428571428573,4.14062269895674,3.9220861268351874,4.241401173909025,4.5260750728924855,7.030310515873016,7.244366071428571,7.259241709391599,7.038872165922961,7.31869054374981,6.957307783367475
2000-11-30,POMKH,5.145714285714285,3.065714285714286,5.605555555555557,5.6017422161172155,5.535162545787546,5.361110522692028,5.2736437830847525,4.710560853479049,4.105868672132541,3.9379464285714287,4.0134821428571446,3.710659333659758,3.7579190592070173,3.5599194247525725,2.727844930946617,6.782276785714286,7.133254960317459,6.597767247857182,6.769948570672911,5.603475479536137,4.091850788197355
2001-02-28,POMRB,5.059166666666667,3.8071428571428574,6.054444444444441,5.69771749084249,5.553912545787546,5.240332980281884,5.172745720765012,5.487822564630051,5.20365893961579,4.0512500000000005,4.020892857142859,3.749252743052998,3.7190947974977226,4.049437984462031,4.195806293957222,7.0071875,6.927366071428569,6.380438126492086,6.635274139619057,6.941569916047283,6.597762080777728
