Date,Season,Dongargaon,Rajnandgaon,Mohla,Dongargarh,Khairagarh,Manpur,Chhuikhadan,Chhuriya,Amba Chauki,Dongargaon_Trend,Dongargaon_SMA,Dongargaon_EWMA,Dongargaon_DES,Dongargaon_TES,Dongargaon_ARIMA,Rajnandgaon_Trend,Rajnandgaon_SMA,Rajnandgaon_EWMA,Rajnandgaon_DES,Rajnandgaon_TES,Rajnandgaon_ARIMA,Mohla_Trend,Mohla_SMA,Mohla_EWMA,Mohla_DES,Mohla_TES,Mohla_ARIMA,Dongargarh_Trend,Dongargarh_SMA,Dongargarh_EWMA,Dongargarh_DES,Dongargarh_TES,Dongargarh_ARIMA,Khairagarh_Trend,Khairagarh_SMA,Khairagarh_EWMA,Khairagarh_DES,Khairagarh_TES,Khairagarh_ARIMA,Manpur_Trend,Manpur_SMA,Manpur_EWMA,Manpur_DES,Manpur_TES,Manpur_ARIMA,Chhuikhadan_Trend,Chhuikhadan_SMA,Chhuikhadan_EWMA,Chhuikhadan_DES,Chhuikhadan_TES,Chhuikhadan_ARIMA,Chhuriya_Trend,Chhuriya_SMA,Chhuriya_EWMA,Chhuriya_DES,Chhuriya_TES,Chhuriya_ARIMA,Amba Chauki_Trend,Amba Chauki_SMA,Amba Chauki_EWMA,Amba Chauki_DES,Amba Chauki_TES,Amba Chauki_ARIMA
2010-11-30,POMKH,2.33,3.483333333333333,6.723333333333334,3.3575,3.55,6.8983333333333325,4.905,3.733333333333333,4.71,4.480787760416666,5.043124999999999,4.058043636607786,4.098318612686004,4.281849498058474,4.434978743686327,5.278958333333333,5.546666666666669,4.6718951455789055,5.969851482855086,4.156657308894191,3.698254820573222,7.400801282051282,7.131666666666666,6.745242425554575,6.558955621655036,5.583624859023308,5.4510429145922075,4.906770833333333,5.380624999999998,4.463022529610363,5.309844078563432,4.242128969730195,3.644520616171561,4.752187500000001,5.02,4.26518711524404,4.75091762802385,3.948279955562204,3.2631883082053736,7.383041666666666,7.562499999999996,7.2527571848548735,7.773783917915292,7.077753403437132,6.874963321706049,6.298125,6.0725,5.679855335308563,5.580734930808743,5.267707097196306,5.240512832610795,5.026083333333333,5.3971666666666644,4.644954028800534,4.35196152586306,4.677526178744229,4.899025160238973,6.568124999999999,6.210625000000003,5.600379431102401,5.834992520744313,3.7379596923419736,4.130401385521892
2011-02-28,POMRB,4.29,5.296666666666666,8.536666666666667,5.4325,5.32,7.0680000000000005,7.29,4.7325,7.4,3.946575520833333,4.709999999999999,4.150826181964671,3.891005601649738,4.95026795784079,4.8690127409320585,5.098124999999999,5.435833333333336,4.921803754014009,5.857139264543763,5.633797687555611,5.138517508937487,7.503685897435897,7.324999999999999,7.461812121999412,7.520863029284832,7.784789085029367,7.566407095752564,4.902916666666668,4.981874999999999,4.850813517766218,5.338755449849857,5.810239443899168,5.445588037093597,4.5562499999999995,4.904374999999999,4.687112269146424,4.879714993113839,5.568072249012405,5.4010490558271025,7.033458333333333,7.325749999999996,7.178854310912924,7.7652134286528876,7.872615074721696,7.491114461668429,5.953125,6.263125,6.323913201185138,6.237058534158187,6.8133459944610575,6.443737441955152,4.989583333333333,4.979458333333331,4.67997241728032,4.181490099378922,6.674867311779366,6.904643588049686,6.7703125,6.385625000000004,6.320227658661441,6.330783284170414,6.882202828316361,7.033753533252729
2011-05-31,PREMON,7.486302083333332,8.85,9.349743589743591,8.516666666666667,7.06,8.548333333333334,7.425,9.645,9.635,3.649075520833333,4.251575520833332,5.485016542512135,5.478400736008985,7.5348462102564895,8.211520831839866,5.168541666666667,5.122083333333335,6.4930822524084055,6.553624248796966,9.572271366485591,8.855290914793136,7.306907051282051,7.4766025641025635,8.216984709097083,8.748389964911368,10.498983923578882,10.010610666978785,5.141354166666667,4.831666666666665,6.317154777326397,5.388406755271841,9.056511701319756,8.776500626750499,4.56575,4.599999999999999,5.636267361487855,5.756269991864323,6.849946125513968,6.762987101752545,6.4513750000000005,7.440333333333329,7.726645919881088,8.038482714495531,8.877454529648015,8.206402528807365,5.968333333333334,6.333125,6.764347920711083,6.87660135772088,8.13982951120238,8.069159945022363,4.868541666666666,5.072708333333331,6.665983450368191,6.788562143849096,9.628824456490646,9.694284784396311,6.61625,6.750625000000004,7.6461365951968645,7.75996969440257,8.516395754023662,8.36495188195432
2011-08-31,MONSOON,0.46,2.6666666666666665,5.513333333333333,2.5900000000000003,2.12,3.991666666666666,2.6725,1.515,5.415,3.4859505208333332,3.641575520833332,3.475009925507281,3.3383834360872586,2.5692388503681944,1.8021001814436648,5.253958333333333,5.0741666666666685,4.962516018111709,5.815881245844416,2.8931142293240244,2.434223984748158,6.859681776556776,7.530769230769231,7.135524158791583,7.40726916396463,5.210743857061356,4.470126569793046,5.1807291666666675,4.974166666666665,4.826292866395838,5.398050866229061,2.9385558143873673,2.368257442044821,4.5915,4.512499999999999,4.229760416892713,4.463504372736845,3.3085592760910782,2.916806429052233,6.187666666666667,6.626583333333328,6.23265421859532,7.369415652298514,6.065781345473122,5.879710196660392,6.477291666666667,5.573124999999999,5.127608752426649,5.033380222334735,5.317095258180499,4.416330061007988,5.0840625,4.906458333333331,4.605590070220915,4.75054502223565,3.477280604318849,3.4710576932858466,6.434166666666666,6.7900000000000045,6.753681957118118,7.164047229851444,5.405718850106236,5.327943082218548
2011-11-30,POMKH,2.39,4.238333333333334,4.932435897435898,4.695,3.976,5.496666666666667,8.066666666666666,3.43,3.3200000000000003,3.315325520833333,3.6565755208333317,3.0410059553043687,2.643215300714455,2.7804888258989156,2.4942777476560907,5.193958333333334,5.262916666666668,4.672842944200359,5.460555451125644,3.905232269174867,3.3560036961030884,6.636318681318681,7.083044871794871,6.2542888542493085,6.059643543987651,5.940365585353177,5.6472450701276244,4.991770833333334,5.308541666666665,4.773775719837503,5.421864978824402,3.8956665781621735,3.8130456379451987,4.5302500000000006,4.618999999999999,4.128256250135628,4.12897485462219,3.8041578765042923,3.2754269652480246,6.083125,6.276166666666661,5.938259197823859,7.026376604289635,5.612355640178747,5.548597215274643,6.695416666666667,6.3635416666666655,6.3032319181226555,6.286421581367751,4.918485289741504,4.353897579180067,5.569375,4.830624999999998,4.1353540421325485,4.022593094141812,4.313516328008301,4.798661558082266,6.425833333333332,6.442500000000004,5.380209174270871,5.7477615200165255,4.64757880397151,4.074972334238655
2012-02-29,POMRB,2.925,5.2250000000000005,6.749761904761903,4.41,5.1,6.359999999999999,8.200000000000001,6.76,7.333333333333332,3.315325520833333,3.3153255208333317,2.994603573182621,2.464407220586853,3.94035685614982,4.473709412864913,5.065711805555555,5.245000000000002,4.893705766520215,5.351029966806502,5.5388682754481655,5.048217658010086,6.488848443223443,6.636318681318679,6.452478074454346,6.1194341264254115,7.408326452993774,6.861980719637977,4.863218750000001,5.052916666666665,4.628265431902502,5.443724188482963,5.8207240050901055,6.010973486290576,4.508508928571429,4.563999999999998,4.5169537500813774,4.349417448660209,5.512456066382941,5.492649180135842,6.2129055059523814,6.099166666666661,6.106955518694315,6.874394774615083,6.357659254910647,6.508183011141039,6.9345052083333325,6.591041666666666,7.061939150873593,7.440687723604264,7.145870533634313,7.701651201452828,5.94578125,5.337499999999997,5.185212425279529,5.184644308958,6.315868365565309,6.724153029036647,6.097864583333332,6.425833333333339,6.1614588378958555,6.201991281532015,7.336967240666477,7.017206439356577
2012-05-31,PREMON,7.486302083333332,8.441666666666665,9.349743589743591,8.0275,6.790000000000001,8.42,8.26,11.5,9.635,3.307825520833333,3.3153255208333317,4.791282977242905,4.941291296503454,6.413168307990871,7.312182281919187,4.9501438492063485,5.142916666666668,6.312890126578795,5.982462242609562,9.35436870694474,8.49906274021072,6.341378205128205,6.636318681318679,7.611384280570044,7.755730115765961,9.640996551562676,9.178805103579135,4.6229375,4.930624999999997,5.987959259141501,5.489927274169706,8.84803609261011,8.267720130225843,4.417267857142857,4.496499999999998,5.426172250048827,5.301570157617654,6.852182919144548,6.817058702577378,6.392477678571428,6.067083333333327,7.032173311216589,7.1449430091532475,7.773676154490531,7.839122202366831,7.0213020833333335,6.799791666666665,7.5411634905241565,8.363225442699543,8.1035127874406,8.438187121155813,6.193697916666667,5.801249999999997,7.711127455167718,9.020372747874905,9.466911942940976,9.689265768229141,5.769895833333332,6.425833333333339,7.550875302737513,7.631105187770087,9.385851173536269,9.455370055926144
2012-08-31,MONSOON,0.46,2.0490277777777783,4.333571428571428,2.05075,2.2160714285714285,5.158244047619047,3.750208333333333,2.67125,2.79125,3.294700520833333,3.3153255208333317,3.058769786345743,3.304357928670825,1.8006171835632174,1.7091477822117307,4.841711309523809,4.988506944444445,4.607345187058388,5.160893838786315,2.81866148992764,2.3508876421588547,6.341378205128205,6.341378205128203,6.300259139770597,6.171195588714094,4.645673250294452,4.552168027480496,4.552919642857142,4.795812499999998,4.413075555484901,5.495790688863176,2.6705825480663,2.22014646374461,4.421517857142857,4.520517857142855,4.142131921457867,4.2205014593833035,3.0479168981610907,2.521759460749098,6.593727678571429,6.358727678571422,6.282601605777572,6.756040242426993,5.171903168454904,5.3942199048009645,7.032135416666667,7.069218749999998,6.024781427647827,6.658995541120807,4.680523693270622,3.9134198168639687,6.067083333333334,6.090312499999997,5.695176473100631,7.256918957336009,3.4819326278796727,3.308788459122075,5.769895833333333,5.769895833333338,5.647025181642507,5.987445501342132,5.409049559223589,5.382670283115911
2012-11-30,POMKH,2.33,3.931428571428572,4.932435897435898,3.312,3.15,5.766666666666668,7.683333333333334,4.257083333333334,3.3200000000000003,2.866204427083333,3.3003255208333315,2.7672618718074458,2.839587830251629,2.253796391391989,2.1375345882376053,4.667237103174603,4.911780753968255,4.336978540806461,4.812666095563316,3.974282181612918,3.7272907559720436,6.341378205128205,6.341378205128203,5.753129842836717,5.33777431637101,5.1654394578061025,5.07668141569119,4.737617063492063,4.450062499999998,3.9726453332909406,5.510144201136025,3.5701911942617115,3.848119036280189,4.620545634920635,4.314017857142855,3.74527915287472,3.6909331059765296,3.809455005803554,3.581693006704578,6.623311011904761,6.426227678571423,6.076227630133211,6.515172462273276,5.8604925766959095,6.041426148677466,6.99609375,6.973385416666665,6.6882021899220305,7.178236854806313,6.634533833933972,6.016514282786389,5.499583333333334,6.2970833333333305,5.119939217193712,6.306877714020665,4.413271824126719,4.68489156707254,5.769895833333333,5.769895833333338,4.716215108985505,4.8236360095324695,3.517342871339113,3.3196377581866834
2013-02-28,POMRB,2.88,4.6644444444444435,6.749761904761903,5.232857142857141,5.96,7.6999999999999975,8.67,4.92,7.333333333333332,2.4433333333333334,3.2890755208333315,2.8123571230844675,2.757261738535066,3.5605592421618844,3.9261039544517278,4.4458705357142865,4.771641865079365,4.467964902261654,4.66653215298328,5.378177332739758,5.068483100690623,6.341378205128205,6.341378205128203,6.151782667606792,5.80215574413078,6.897959993482011,6.853160000056457,4.703238591269841,4.655776785714283,4.476730057117421,5.537420093933269,5.271086733087312,4.957205783930874,4.588814484126984,4.529017857142856,4.631167491724832,4.446944486017337,5.327968620236783,5.096597016008087,6.289006696428571,6.761227678571423,6.725736578079926,6.679829864555406,6.629950909456868,6.713814161929396,6.701067708333333,7.090885416666664,7.4809213139532185,8.106007851586783,7.884165581492038,7.70037541178419,5.195052083333334,5.8370833333333305,5.039963530316227,5.76475109384997,6.4756894439635015,6.726381521412823,5.769895833333332,5.769895833333338,5.763062398724636,5.538470764841778,7.234632318328888,7.9655029718269255
2013-05-31,PREMON,4.1033333333333335,7.606428571428572,9.349743589743591,8.682222222222222,7.522222222222222,7.316666666666666,7.501666666666668,8.8,9.635,2.4583333333333335,2.4433333333333325,3.328747607184014,3.350617298383471,6.138750666595842,7.079905280570277,4.327688492063492,4.562832341269843,5.723350369928422,5.20560993487747,8.976771361938749,8.478789082671558,6.341378205128205,6.341378205128203,7.430967036461512,7.773389185253576,9.304869127669525,9.191217288797365,4.593588023088023,4.819457341269839,6.158926923159342,5.587899081952904,8.589324378990502,8.535098606645034,4.447361111111111,4.712073412698411,5.7875893839237875,5.843592088614679,6.842326317420413,7.056236713213761,5.942678571428571,6.485394345238088,6.962108613514622,6.7666550273300325,8.591846590599758,8.570406031068847,6.0646666666666675,6.901302083333331,7.489219455038598,8.185460076093637,8.49461002783929,8.781667312229201,5.336510416666667,5.162083333333332,6.543978118189736,7.335241025355821,9.461579961903263,9.83379285037594,5.769895833333332,5.769895833333338,7.311837439234782,7.234552603782929,9.468327230133113,9.747799623433577
2013-08-31,MONSOON,0.46,1.1133333333333335,4.333571428571428,1.121,1.23,3.5871428571428567,2.148333333333333,2.935,2.79125,2.484583333333333,2.4433333333333325,2.1812485643104083,2.078444682584221,0.5477605840464324,-0.7289247317999505,4.328621031746032,4.328908730158732,3.8793435552903865,4.298078724426701,2.4541326814647766,2.182193544221362,6.341378205128205,6.341378205128203,6.192008793305478,6.353411731880648,4.424299680321095,4.535597619571587,4.508094516594517,4.587019841269838,4.143756153895605,5.587355663349753,2.6054900397079512,2.444937770851602,4.357777777777778,4.465555555555554,3.9645536303542723,4.358676016799177,2.9927845118100986,2.6131005206950912,5.508206845238094,6.092619047619041,5.612122310965916,6.120134784038572,5.069440740920298,5.028648479159861,5.398708333333334,6.500833333333331,5.352865006356492,5.570052383381204,4.549245301656328,4.098364369463295,5.617500000000001,5.228020833333331,5.100386870913842,5.59370561419101,3.254064404823133,3.2572512529008346,5.769895833333333,5.769895833333338,5.503602463540869,5.796701294586474,3.367642664189213,3.6378459716443663
2013-11-30,POMKH,2.45,3.921666666666667,4.932435897435898,3.3645454545454543,3.004444444444444,4.567142857142857,4.194000000000001,5.125,3.3200000000000003,2.75625,2.4733333333333323,2.288749138586245,2.063381152466034,1.3952854731179583,2.4767162036740755,4.22389880952381,4.3264682539682555,3.896272799840899,4.084525164304018,3.799593652504446,3.5666438126694247,6.341378205128205,6.341378205128203,5.6881796349576454,5.570458553739346,5.019642792645718,5.065585789266844,4.35450505050505,4.6001562049062015,3.832071874155545,5.601930559584541,3.3218185495023613,3.3125400017104907,4.294861111111111,4.429166666666665,3.580509955990341,3.7849186975749625,3.6792464688815976,3.123609113801189,5.138623511904761,5.7927380952380885,5.194130529436692,5.721084401006989,5.106888435828187,5.216786801898254,5.342458333333334,5.628499999999998,4.889319003813895,4.572188489518412,7.060326687546173,5.399906662878687,5.7512500000000015,5.444999999999998,5.110232122548306,5.246449300617629,4.2260033599633235,4.650069778983845,5.769895833333333,5.769895833333338,4.6301614781245215,4.772354539070957,3.3654557723458502,3.213899075078785
2014-02-28,POMRB,2.97,4.681666666666667,6.749761904761903,4.496363636363637,5.3888888888888875,5.42375,6.831666666666668,6.3000000000000025,7.333333333333332,3.2006249999999996,2.4958333333333327,2.561249483151747,2.3661307930923257,3.0100417158057686,3.2766720974235404,4.172579365079365,4.330773809523812,4.210430346571206,4.076538574418726,4.991163762249725,4.878589479181112,6.341378205128205,6.341378205128203,6.1128125428793485,6.033559301567285,6.801938288758695,6.8452136496121465,4.461852272727273,4.416032828282825,4.097788579038782,5.624110788808041,5.08649924120008,5.041043366237156,4.5301190476190465,4.286388888888887,4.30386152914976,4.306552651946692,5.4107808440376735,5.3973369318997335,5.331116071428571,5.22367559523809,5.285978317662016,5.534994632411467,5.825713478381852,6.247366249306483,5.805895833333334,5.168916666666664,5.666258068955004,5.207992519574748,7.740300426083126,6.859030604752769,5.8525,5.789999999999997,5.5861392735289845,5.601783105762612,6.375562301846425,6.584365389047827,5.769895833333332,5.769895833333338,5.711430220208046,5.595729048501303,7.307888288069735,7.551341539789952
2014-05-31,PREMON,6.1866666666666665,6.751428571428571,9.349743589743591,8.19,7.589999999999999,6.63625,8.89,8.49,9.635,3.4016927083333335,3.016666666666666,4.0114163565577154,4.5407599709932125,5.789840665982992,6.157410986886758,4.010694444444445,4.117023809523811,5.226829636514152,4.552840278515836,8.395653865461389,8.185199963312044,6.341378205128205,6.341378205128203,7.407584961625045,7.980253072671212,9.241629219120835,9.202318433016405,4.609659090909091,4.292977272727269,5.734673147423269,5.671147453297747,8.287750206694595,8.26965956632477,4.738432539682539,4.303333333333331,5.618316917489855,5.769955675927789,6.8602270582191895,7.075405064319092,5.860111607142858,5.0535714285714235,5.82608699059721,5.618243189986621,6.854636212996414,7.202365505573443,6.129979166666667,5.515999999999997,6.955754841373003,6.932717100058878,7.437607757293319,7.8455370430604585,5.944375000000001,5.712499999999998,6.747683564117391,7.090820376664233,9.483687517937767,9.751937345382343,5.769895833333332,5.769895833333338,7.280858132124827,7.385245164108858,9.586621376079632,9.635000000000414
