Date,Season,Kurud,Dhamtari,Magarlod,Sihawa (nagri),Kurud_Trend,Kurud_SMA,Kurud_EWMA,Kurud_DES,Kurud_TES,Kurud_ARIMA,Dhamtari_Trend,Dhamtari_SMA,Dhamtari_EWMA,Dhamtari_DES,Dhamtari_TES,Dhamtari_ARIMA,Magarlod_Trend,Magarlod_SMA,Magarlod_EWMA,Magarlod_DES,Magarlod_TES,Magarlod_ARIMA,Sihawa (nagri)_Trend,Sihawa (nagri)_SMA,Sihawa (nagri)_EWMA,Sihawa (nagri)_DES,Sihawa (nagri)_TES,Sihawa (nagri)_ARIMA
2000-02-29,POMRB,3.17,2.485,4.52,4.38375,2.73625,3.451250000000001,2.9526695191071948,2.8339737774242093,3.090755424957069,2.557504156403161,2.9287499999999995,2.00625,2.125758656702513,2.5177082429849107,3.7255494482957627,2.5692667532203792,2.8225,3.1100000000000003,3.351198219615076,3.4299421573188904,4.4231109016648364,4.0366385119049975,4.433006944444445,4.608159722222221,4.2725897956890595,4.300262202593546,5.052500327186257,4.738083766860528
2000-05-31,PREMON,4.635,6.34,3.73,6.2725,3.0131249999999996,2.7025000000000015,3.625601711464317,5.758350787193138,5.963737878766175,6.944626506365036,2.939375,2.96375,3.811455194021508,3.1387404044137477,3.8728518279438653,2.48749437491381,2.96,2.7925000000000004,3.5027189317690457,3.762578213606128,5.705881334823928,5.324131417185192,4.497381944444444,4.409062499999999,5.072553877413435,5.483910047750395,6.9890315479311695,6.79850161994202
2000-08-31,MONSOON,1.3050000000000002,1.06,0.84,3.4160000000000004,3.6812500000000004,2.7700000000000014,2.6973610268785904,1.9884695739489286,0.9877104422921166,0.5175858349230349,3.06,2.8937500000000003,2.7108731164129045,2.8909753552342092,1.4353465074253773,3.860805957800566,3.02,2.8525000000000005,2.4376313590614274,2.553382359716676,0.6105039144916544,0.507254169272465,4.6890937500000005,4.456951388888888,4.409932326448061,4.6011822061884065,2.0514395382190367,2.4242429201153746
2000-11-30,POMKH,3.915,2.055,3.18,4.0790000000000015,4.69375,3.256250000000001,3.1844166161271543,4.175108878382102,2.0243008113085983,1.5954754080145999,3.1837500000000003,2.9850000000000003,2.448523869847743,2.823845264832049,2.314864126823703,1.0396590573492865,3.1062499999999997,3.0675000000000003,2.7345788154368567,2.7351016059144957,3.010530593072695,2.9140005728397327,5.0213125000000005,4.537812499999999,4.2775593958688365,4.281970099336711,3.8722523245850216,3.762433673372062
2001-02-28,POMRB,6.57,3.085,4.14,5.593999999999999,5.215625,4.106250000000001,4.5386499696762925,9.542931744818999,3.0921204936909374,3.106535558323299,3.168125,3.1350000000000007,2.7031143219086458,2.919208203331194,4.179791881110671,3.1862051477473066,3.1799999999999997,2.9725,3.2967472892621137,3.418064973707505,4.42476883898284,4.258675859972017,4.8656250000000005,4.840375,4.804135637521302,4.981442128830351,5.154269632752205,4.806065121711723
2001-05-31,PREMON,9.335,6.73,4.8,7.7200000000000015,4.921875,5.281250000000002,6.457189981805776,14.907222591874095,5.9648209614829835,7.17807225297867,3.101875,3.232500000000001,4.3138685931451874,3.5465371865122153,4.361359834141597,3.676701522229795,3.1112499999999996,3.24,3.898048373557268,4.353333099029945,5.362219533613566,4.736238116315007,4.408847222222223,5.20225,5.970481382512782,6.937173702717804,7.600371817154904,7.250922116820632
2001-08-31,MONSOON,0.78,0.5449999999999999,0.36,0.7229999999999999,4.2825,5.150000000000002,4.186313989083465,3.4665539580037974,0.9891243811250563,1.68766517758075,2.9556250000000004,3.1037500000000007,2.806321155887112,3.1691119083678205,1.9006966537579144,3.5898765751731947,3.215,3.12,2.482829024134361,2.797050117418466,0.7287681704490447,0.7837741826268738,4.204027777777778,4.529,3.871488829507669,4.110067951168565,3.0471642379757884,3.1494706289354237
2001-11-30,POMKH,2.09,2.04,3.11,3.1177777777777784,3.6762500000000005,4.693750000000002,3.3477883934500787,1.4825597698820472,2.026030318262293,1.7001936730000842,2.3575,3.1000000000000005,2.4997926935322674,3.0637598417042744,2.5497476117762434,1.1690395003159966,3.3625,3.1025,2.7336974144806163,2.869323640000186,3.063712567289412,2.869281098375104,4.026305555555556,4.288694444444444,3.570004408815713,3.3619500900764123,3.172262331623873,2.720001277904517
2002-02-28,POMRB,3.28,1.93,5.04,4.916666666666667,3.52375,3.8712500000000025,3.3206730360700476,2.8140911647563893,3.0941681520768225,3.41764844924243,1.986875,2.8112500000000002,2.2718756161193605,2.955610837106078,4.355931240072662,3.3797173612537175,3.68,3.3274999999999997,3.65621844868837,3.986032121585554,4.39856628868028,4.164572204873006,4.333500000000001,4.119361111111111,4.108669311956094,3.9570815173737435,4.334190621101695,4.453752487430648
2002-05-31,PREMON,7.775,3.1,5.08,6.975555555555558,3.5112499999999995,3.481250000000003,5.102403821642029,12.693696902590826,5.966846560419864,6.853030549677737,2.05125,1.90375,2.6031253696716163,3.0361674206973253,4.224566874952623,3.797651445177786,4.02125,3.3975,4.2257310692130226,4.945893541749676,5.3814664503214935,4.883604733234184,4.949402777777779,3.93325,5.25542380939588,5.847123899194064,6.8459133012111755,6.9602435830453535
