Date,Season,Doiwala,Sahaspur,Raipur,Vikashnagar,Doiwala_Trend,Doiwala_SMA,Doiwala_EWMA,Doiwala_DES,Doiwala_TES,Doiwala_ARIMA,Sahaspur_Trend,Sahaspur_SMA,Sahaspur_EWMA,Sahaspur_DES,Sahaspur_TES,Sahaspur_ARIMA,Raipur_Trend,Raipur_SMA,Raipur_EWMA,Raipur_DES,Raipur_TES,Raipur_ARIMA,Vikashnagar_Trend,Vikashnagar_SMA,Vikashnagar_EWMA,Vikashnagar_DES,Vikashnagar_TES,Vikashnagar_ARIMA
1999-02-28,POMRB,11.840902777777776,10.080563492063492,14.753333333333332,7.272083333333334,10.978644307081804,10.978644307081806,10.82351555797703,10.767773627036117,11.833910803278153,11.84089666066716,9.815906288156288,9.815906288156288,9.653982120476249,9.17400634243149,10.080563492063494,9.97499168141663,12.50875,12.001785714285713,12.290275561463417,11.504174931526391,11.158728061421858,10.560206536582669,6.67013548951049,6.670135489510489,6.726137286647777,6.484164785106985,7.349154768161633,7.173624955035218
1999-05-31,PREMON,14.75369047619047,12.417074786324784,13.509999999999998,8.09576923076923,10.978644307081804,10.978644307081806,12.395585525262407,12.081578992017839,14.893394331546077,14.75368205598204,9.815906288156286,9.815906288156288,10.759219186815663,9.918252284317676,12.417074786324786,12.267082986607416,12.501624999999997,12.4325,12.77816533687805,11.951803301770996,13.924457770269067,12.89784823549892,6.670135489510491,6.670135489510489,7.273990064296358,6.9081356412152,8.073469119652723,7.873190773396585
1999-08-31,MONSOON,7.802291666666666,7.5716819291819295,12.211666666666664,4.895416666666668,10.978644307081804,10.978644307081806,10.55826798182411,11.103733015952828,7.6959158527940446,7.802286845427286,9.815906288156288,9.815906288156288,9.484204283762171,9.37894191374739,7.571681929181931,7.505451338368369,11.718874999999999,12.584999999999999,12.551565868793496,12.034753409627672,11.110407235773746,12.394911125613959,6.67013548951049,6.670135489510489,6.322560705244482,6.249652099988825,4.9838523841011435,5.195442208316436
1999-11-30,POMKH,9.517692307692307,9.194304945054943,9.198,6.417272727272729,10.978644307081804,10.978644307081806,10.142037712171389,10.692130278454439,9.495105155014176,9.517686881407627,9.815906288156288,9.815906288156288,9.36824454827928,9.310630406902291,9.194304945054945,9.087106007573821,11.361107142857142,12.418249999999999,11.210139521276098,11.469218372542246,11.515566390443434,10.511592684764748,6.67013548951049,6.67013548951049,6.3604455140557805,6.178106868521436,6.413065403543354,6.444436527309307
2000-02-29,POMRB,11.840902777777776,10.080563492063492,9.158333333333333,7.272083333333334,10.978644307081804,10.978644307081806,10.821583738413944,11.02227393711239,11.83344046319445,11.84089814940466,9.815906288156288,9.815906288156288,9.653172125792965,9.470408508033463,10.080563492063494,9.999471036628936,11.481005952380952,11.019499999999999,10.389417046098991,11.01249367366498,11.93999939653461,11.73667866870778,6.67013548951049,6.670135489510489,6.725100641766802,6.425007859912675,7.360082718874605,7.173622992153924
2000-05-31,PREMON,14.75369047619047,12.417074786324784,16.242857142857144,8.09576923076923,10.978644307081804,10.978644307081806,12.394426433524554,12.235300542982127,14.892983000491741,14.753684197013829,9.815906288156286,9.815906288156288,10.758733190005692,10.183200387257966,12.417074786324786,12.30430687438738,11.832583333333334,11.702714285714285,12.730793084802253,12.134429249706052,12.843259621470356,11.153106453013962,6.670135489510491,6.670135489510489,7.273368077367774,6.944004967988102,8.083054635118252,7.873120062360614
2000-08-31,MONSOON,7.802291666666666,7.5716819291819295,10.438,4.895416666666668,10.978644307081804,10.978644307081806,10.5575725267814,11.17488743654077,7.69555612747587,7.802288059097971,9.815906288156288,9.815906288156288,9.483912685676188,9.611672634730663,7.571681929181931,7.521539098698273,12.989113095238096,11.259297619047619,11.813675850881351,11.808008499987416,11.143271086115856,10.966213547579446,6.67013548951049,6.670135489510489,6.322187513087331,6.346546019812404,4.992260374689061,5.195220955886398
2000-11-30,POMKH,9.517692307692307,9.194304945054943,13.784285714285714,6.417272727272729,10.978644307081804,10.978644307081806,10.141620439145763,10.698489964170443,9.494790560958677,9.51768820303444,9.815906288156288,9.815906288156288,9.36806958942769,9.512541595428171,9.194304945054945,9.112309208848425,13.333964285714286,12.405869047619047,12.601919796243097,12.250172010644762,11.02075383197973,10.655964244758243,6.67013548951049,6.67013548951049,6.36022159876149,6.3120312479820235,6.420440521342781,6.4444169605627755
2001-02-28,POMRB,11.840902777777776,10.080563492063492,13.824285714285715,7.272083333333334,10.978644307081804,10.978644307081806,10.821333374598568,10.978208819705499,11.833165338217821,11.840899063442821,9.815906288156288,9.815906288156288,9.653067150482011,9.64366610340008,10.080563492063494,10.014615480585926,12.942607142857144,13.572357142857143,13.090866163460145,12.609144697770466,12.929344268078319,11.717758440018956,6.67013548951049,6.670135489510489,6.724966292590228,6.578453800092975,7.3665518463060256,7.1736212216290065
2001-05-31,PREMON,14.75369047619047,12.417074786324784,14.335714285714285,8.09576923076923,10.978644307081804,10.978644307081806,12.39427621523533,12.150990783591828,14.892742392789716,14.753685481045315,9.815906288156286,9.815906288156288,10.75867020481912,10.33049350393683,12.417074786324786,12.326558798091517,12.694821428571428,13.095571428571429,13.5888054123618,13.000910435656037,14.906518843691938,15.470861987210338,6.670135489510491,6.670135489510489,7.273287467861829,7.104080559391007,8.088729067834052,7.873056274954946
2001-08-31,MONSOON,7.802291666666666,7.5716819291819295,9.214285714285714,4.895416666666668,10.978644307081804,10.978644307081806,10.557482395807863,11.068385639049824,7.695345706499252,7.8022887910362275,9.815906288156288,9.815906288156288,9.483874894564245,9.73474055915537,7.571681929181931,7.531264352211855,12.620892857142858,12.789642857142857,11.838997533131366,12.238700180092298,12.046800377938515,12.0621394023716,6.67013548951049,6.670135489510489,6.322139147383765,6.497967382282541,4.997237736317426,5.1950211101322665
2001-11-30,POMKH,9.517692307692307,9.194304945054943,13.025714285714285,6.417272727272729,10.978644307081804,10.978644307081806,10.14156636056164,10.583087556876292,9.494606539470471,9.517689012229262,9.815906288156288,9.815906288156288,9.368046914760525,9.61372341967606,9.194304945054945,9.127744936597162,12.741904761904761,12.599999999999998,12.313684234164533,12.432762919562167,11.302928410399351,10.281290999415537,6.67013548951049,6.67013548951049,6.36019257933935,6.446473311240624,6.424806443016419,6.4443992623274955
2002-02-28,POMRB,11.840902777777776,10.080563492063492,13.991428571428573,7.272083333333334,10.978644307081804,10.978644307081806,10.821300927448096,10.86250942429443,11.833004404129092,11.840899683139424,9.815906288156288,9.815906288156288,9.653053545681711,9.725371083105161,10.080563492063494,10.024892386962126,14.063363095238094,12.641785714285712,12.984781969070148,12.788935140203122,12.907523364397065,11.467457883597532,6.67013548951049,6.670135489510489,6.724948880936944,6.691432861147125,7.37038143987056,7.17361961620592
2002-05-31,PREMON,14.75369047619047,12.417074786324784,15.136666666666667,8.09576923076923,10.978644307081804,10.978644307081806,12.394256746945047,12.040347549675234,14.89260164954735,14.753686338676514,9.815906288156286,9.815906288156288,10.75866204193894,10.394948938679402,12.417074786324786,12.34133685357942,15.064238095238096,12.842023809523806,13.845535848108756,13.311251563924698,14.939893087708045,14.92062863871021,6.670135489510491,6.670135489510489,7.273277020869859,7.193390689425351,8.092088218081312,7.8729984416312675
2002-08-31,MONSOON,7.802291666666666,7.5716819291819295,18.985,4.895416666666668,10.993843959859584,10.978644307081806,10.557470714833695,10.969382636221798,7.6952226209526895,7.802289281610396,9.880141407203906,9.815906288156288,9.483869996836138,9.78423005133504,7.571681929181931,7.5377680702622145,15.469845238095237,15.284702380952377,15.901321508865255,14.531552145689872,12.304379456006906,11.70167499125894,6.593000072843823,6.670135489510489,6.322132879188582,6.5637058225095615,5.000184234475394,5.194839707955058
2002-11-30,POMKH,9.517692307692307,9.194304945054943,11.261999999999995,6.417272727272729,11.316707303113553,10.978644307081806,10.14155935197714,10.499112635796676,9.494498896279097,9.517689560514723,10.009464400183148,9.815906288156288,9.36804397612366,9.650380577171264,9.194304945054945,9.138167495578545,15.618583333333332,14.843773809523803,14.04559290531915,13.88131055810514,14.339235539608756,14.055498448104395,6.388893502331003,6.67013548951049,6.360188818422241,6.4904133304674545,6.4273909809965195,6.444383176914702
2003-02-28,POMRB,11.9625,10.59444444444444,19.0,6.655,11.56314703525641,11.009043612637361,10.869935611186284,10.832069796689153,11.83291026588969,11.840900131928144,9.93073092185592,9.944376526251526,9.858604163451972,9.876675567721188,10.080563492063494,10.032311270898926,14.397202380952379,16.09591666666666,16.02735574319149,14.98669670724625,14.541773878137999,15.262247999734639,6.214995265151515,6.515864656177156,6.478113291053345,6.510335488316012,7.372648482377448,7.173618153546773
2003-05-31,PREMON,17.215000000000003,12.937777777777775,11.318,7.08,11.36533653846154,11.624370993589745,13.407961366711772,12.80826102064778,14.907774951426731,14.78184919657375,9.610677007020755,10.074552274114774,11.090273609182294,10.647944111656445,12.445544645182459,12.502285904220798,13.726440476190476,15.141249999999992,14.143613445914891,14.253927678359524,17.559761904451253,15.718748018601342,6.039659090909091,6.261922348484848,6.7188679746320075,6.676618527648082,8.018271665696359,7.836194736636928
2003-08-31,MONSOON,7.3125,6.42111111111111,13.032619047619047,4.52,11.330156250000002,11.501923076923077,10.969776820027064,11.531204304209474,8.017289018192624,8.366346532367519,9.447430555555552,9.78690956959707,9.22260860995382,9.716401080243621,7.628845814644279,7.650960859185854,13.313001860119048,13.653154761904755,13.699215686596553,14.032092295019936,13.043591815598337,14.051040467347462,5.9078124999999995,6.168068181818182,5.839320784779204,5.987112846953474,4.810654268835054,5.127827537658162
