Date,Season,Nohar,Bhadra,Hanumangarh,Nohar_Trend,Nohar_SMA,Nohar_EWMA,Nohar_DES,Nohar_TES,Nohar_ARIMA,Bhadra_Trend,Bhadra_SMA,Bhadra_EWMA,Bhadra_DES,Bhadra_TES,Bhadra_ARIMA,Hanumangarh_Trend,Hanumangarh_SMA,Hanumangarh_EWMA,Hanumangarh_DES,Hanumangarh_TES,Hanumangarh_ARIMA
2001-11-30,POMKH,36.18,17.225,24.455,39.11562500000001,39.271041666666676,38.46032997666026,38.09417927652039,40.10153901689016,37.775629514469806,16.700625000000002,16.8025,16.951118824217716,16.778656360621152,17.23065718839748,17.12202632990017,21.525624999999998,21.83750000000001,23.037606488505475,22.18150461251307,22.495872130490092,22.283856670983656
2002-02-28,POMRB,37.0,16.225,22.865,39.02802083333333,39.11229166666667,37.87619798599616,37.08346615860021,39.28646433127061,37.944889556803716,16.6225,16.70125,16.66067129453063,16.71654972834465,17.431193423668237,17.535346056603,21.256874999999997,21.48125000000001,22.968563893103283,22.168510466087422,22.04352391646829,22.379698398820103
2002-05-31,PREMON,45.60333333333333,16.75,13.79,39.091458333333335,39.11895833333333,40.96705212493103,40.575761221148255,37.197923874933025,38.3091877239467,17.106875000000002,16.700000000000003,16.69640277671838,16.654673005501945,17.31995168227132,16.88833992081328,20.7275,21.570000000000007,19.29713833586197,19.772108699789587,20.25953982793574,18.624036102286098
2002-08-31,MONSOON,36.965,15.98,22.665,39.25802083333333,38.937083333333334,39.36623127495862,39.31748942518042,39.49654392057454,40.266871988492596,18.105625,16.545,16.409841666031028,16.593025296531632,15.518123112408375,16.214746150446985,20.484375,20.943750000000005,20.64428300151718,20.2803062629175,21.178611697469023,22.06405136428706
2002-11-30,POMKH,37.41499999999999,21.72,22.725,38.09229166666666,39.24583333333333,38.58573876497517,38.42923997369403,39.059022433220974,38.59732312945514,18.91125,17.668750000000003,18.533904999618617,16.531605977619098,16.875446509701938,16.75869830221069,21.55625,20.511250000000008,21.476569800910312,20.700241928801898,21.263288739932783,21.93144552735932
2003-02-28,POMRB,37.0975,19.72,22.65,36.385639880952375,39.27020833333333,37.990443258985096,37.58283296347122,39.16014496472898,39.441463818325936,19.180166666666665,18.542500000000004,19.00834299977117,16.470413937168715,18.094654386575808,18.486081203238818,22.37801136363636,20.457500000000007,21.945941880546187,21.015257037556086,20.48265022071699,21.70427636010461
2003-05-31,PREMON,36.18,19.7,22.58,35.290654761904754,36.914375,37.26626595539106,36.54785942424869,38.020275041946,39.44596339504228,18.62377083333333,19.280000000000005,19.285005799862702,16.40944840199252,18.59147486188356,18.04374277222191,21.77753787878788,22.65500000000001,22.199565128327713,21.249536050057625,18.114626245285457,19.77953551320186
2003-08-31,MONSOON,32.735119047619044,15.181333333333333,20.44909090909091,33.871246279761905,35.85690476190476,35.453807192282255,34.232558926229984,36.00322283538533,38.66485534522276,17.866036458333333,19.080333333333336,17.643536813250954,16.34870837894839,17.163358903616842,17.444946801606534,20.867153359250402,22.101022727272735,21.499375440632992,20.873835081447496,23.096169559638426,22.294403999935383
2003-11-30,POMKH,32.885,18.0675,20.13712121212121,32.59309781364469,34.72440476190476,34.42628431536935,32.6678654774957,34.76523103023237,36.666204391442406,17.191427083333334,18.167208333333335,17.813122087950575,16.288193287958958,18.03031665137557,17.622961721654434,19.451707286682613,21.454053030303037,20.954473749228278,20.508467547582764,22.204430293359724,21.92406375174685
2004-02-29,POMRB,30.272232142857145,17.310625,17.954802631578946,31.749420329670333,33.018087797619046,32.764663446364466,30.510907662684154,34.105677932769524,34.84363546352951,16.693302083333332,17.564864583333335,17.612123252770346,16.227902171132374,18.253175635138557,18.003038427656662,18.124410885167464,20.280253688197774,19.754605302168546,19.65686476456182,20.62444881685019,21.57634368771646
