Date,Season,Delhi Cantonment,Vasant Vihar,Hauz Khas,Najafgarh,Delhi Cantonment_Trend,Delhi Cantonment_SMA,Delhi Cantonment_EWMA,Delhi Cantonment_DES,Delhi Cantonment_TES,Delhi Cantonment_ARIMA,Vasant Vihar_Trend,Vasant Vihar_SMA,Vasant Vihar_EWMA,Vasant Vihar_DES,Vasant Vihar_TES,Vasant Vihar_ARIMA,Hauz Khas_Trend,Hauz Khas_SMA,Hauz Khas_EWMA,Hauz Khas_DES,Hauz Khas_TES,Hauz Khas_ARIMA,Najafgarh_Trend,Najafgarh_SMA,Najafgarh_EWMA,Najafgarh_DES,Najafgarh_TES,Najafgarh_ARIMA
2004-08-31,MONSOON,14.44,30.78619047619048,23.2075,8.0,15.039821428571429,13.392500000000005,13.956546064124861,14.140601389808584,13.498905606313523,13.761673620858579,37.94929761904762,36.939047619047614,35.81421227106644,36.244536134999485,41.04057711172972,40.32781793512484,23.004609375,20.235624999999995,22.915119658563434,22.59281935065025,20.47062135505331,22.431549183233976,9.995895833333334,10.241875,9.72513189909779,11.529775567704785,11.465853480328427,9.973816367897134
2004-11-30,POMKH,14.785,41.01,21.4175,10.924,16.50172619047619,14.142500000000005,14.287927638474915,14.490242409823377,14.301338565203713,14.079055834944443,34.907297619047625,38.689047619047614,37.89252736263986,38.5333785296701,35.94173826964439,35.91139923341123,27.00931743421053,21.028749999999995,22.316071795138058,21.873346512952395,21.304494861073838,21.750894043543116,10.3319375,9.795375,10.204679139458673,11.4340896544817,11.143363212418938,8.838614986246512
2005-02-28,POMRB,18.87857142857143,28.392000000000003,33.651875000000004,11.449166666666667,17.64702380952381,15.937142857142863,16.124185154513523,16.54523739876456,14.590254475366644,14.409360138324066,32.32844047619048,37.20954761904761,34.092316417583916,34.152402300099645,37.1654495285929,38.27132744010825,30.74433388157895,24.980468749999993,26.850393077082835,29.963108113340606,23.554949213079933,21.866172149776055,10.884437499999999,10.196416666666668,10.702474150341871,11.4368090465939,11.151086310578123,10.336188268794583
2005-05-31,PREMON,20.161666666666665,30.23200000000001,37.87578947368422,11.496666666666668,18.790684523809524,17.06630952380953,17.73917775937478,18.30448183581898,17.752724185337886,16.50045996597874,30.80754761904762,32.60504761904761,32.54818985055036,32.54038827327793,36.26702845731394,33.698601596993086,34.40384046052632,29.03816611842105,31.260551635723388,35.451805421488444,31.628067698153828,31.494796399006997,11.358416666666669,10.467458333333335,11.02015115687179,11.448092923731977,13.528136275609823,10.036528260221036
2005-08-31,MONSOON,19.085714285714285,28.57333333333333,36.856842105263155,11.335833333333332,19.235372023809525,18.227738095238102,18.277792369910582,18.821907061502568,17.404023958178577,18.213502425511447,29.994619047619054,32.05183333333332,30.958247243663546,30.900642185958567,32.74727751351169,32.09405727892553,37.14902823464913,32.45050164473684,33.49906782353929,36.53315644913519,35.09228233419787,34.82411540659622,11.456041666666666,11.301416666666668,11.146424027456407,11.429403024964001,11.119126935037887,10.21000865660207
2005-11-30,POMKH,19.288571428571426,31.055714285714284,37.04421052631579,11.380000000000004,18.911592261904758,19.35363095238096,18.68210399337492,19.207776381488248,18.479331909460342,18.62160174149782,30.957511904761905,29.563261904761895,30.99723406048384,31.101008813340542,30.477209732869394,30.464461998266685,38.510316552250195,36.35717927631579,34.917124904649896,37.01021129422578,35.24473741725008,34.080602570635754,11.592083333333335,11.415416666666669,11.239854416473847,11.419407876928354,11.191979717198276,10.131848438713819
2006-02-28,POMRB,17.932499999999994,31.842857142857145,39.98666666666667,11.774166666666664,18.52816964285714,19.1171130952381,18.38226239602495,18.809742138921955,18.888208128908943,18.93367027151653,32.111309523809524,30.425976190476185,31.335483293433164,31.565148970314816,29.612175761534377,30.73812785568491,39.342704996186114,37.940877192982455,36.944941609456606,39.1660315746583,38.67709862686452,36.89539271396145,11.679895833333333,11.49666666666667,11.453579316550975,11.482103488509688,11.228816586264802,10.216911689801355
2006-05-31,PREMON,18.5175,34.48428571428571,42.43130434782608,12.26,18.236383928571424,18.706071428571434,18.43635743761497,18.84403851595996,20.11849965779621,18.465232588386687,32.50494047619048,31.489047619047607,32.595004261774186,33.0068624733796,33.8331464619604,31.249460655586855,39.9466050377921,39.07975591151792,39.1394867048044,41.52595495343987,40.59187994688283,38.58997265364358,11.804088541666667,11.687500000000002,11.776147589930584,11.631298128298598,13.620001068788666,10.376712041346877
2006-08-31,MONSOON,17.662499999999994,33.55142857142857,38.96043478260869,11.275,18.237187499999997,18.35026785714286,18.12681446256898,18.472499798596953,18.292323143375608,18.489687994121265,32.01553571428572,32.73357142857142,32.97757398563594,33.39067602413099,33.4239648340978,32.74672534627988,40.43859766139657,39.6056540808543,39.067865935926115,39.927873478871625,40.96668109382978,40.01252926594252,12.055658700980393,11.672291666666668,11.57568855395835,11.59248158930303,11.281876375915946,10.551801375802295
2006-11-30,POMKH,18.3775,29.22666666666667,39.77181818181818,12.434375,18.524531250000003,18.122500000000002,18.22708867754139,18.58125174366451,18.51594640134612,18.102654900447757,31.53906994047619,32.276309523809516,31.477211058048233,31.666279311991616,33.15501758536417,33.119188680042534,40.54129446640316,40.2875559947299,39.34944683428294,39.96315614493153,38.476487964936396,37.957486765204095,12.09371323529412,11.935885416666666,11.91916313237501,11.764341466597148,11.321221179742164,10.166964004126042
