Date,Season,Bagodar,Jamua,Pirtanr,Deori,Gande,Bengabad,Tisri,Giridih,Bagodar_Trend,Bagodar_SMA,Bagodar_EWMA,Bagodar_DES,Bagodar_TES,Bagodar_ARIMA,Jamua_Trend,Jamua_SMA,Jamua_EWMA,Jamua_DES,Jamua_TES,Jamua_ARIMA,Pirtanr_Trend,Pirtanr_SMA,Pirtanr_EWMA,Pirtanr_DES,Pirtanr_TES,Pirtanr_ARIMA,Deori_Trend,Deori_SMA,Deori_EWMA,Deori_DES,Deori_TES,Deori_ARIMA,Gande_Trend,Gande_SMA,Gande_EWMA,Gande_DES,Gande_TES,Gande_ARIMA,Bengabad_Trend,Bengabad_SMA,Bengabad_EWMA,Bengabad_DES,Bengabad_TES,Bengabad_ARIMA,Tisri_Trend,Tisri_SMA,Tisri_EWMA,Tisri_DES,Tisri_TES,Tisri_ARIMA,Giridih_Trend,Giridih_SMA,Giridih_EWMA,Giridih_DES,Giridih_TES,Giridih_ARIMA
2008-05-31,PREMON,4.98,8.89,11.49,9.425714285714287,6.3,2.3,4.955,8.75,4.394166666666667,4.320000000000002,4.889764717979646,5.248981230811688,7.5390202081237145,7.557839185561242,5.873125,5.601250000000009,6.837551291736878,6.381302036460072,9.321111106988509,8.767194408290258,9.643125000000001,9.653750000000002,10.36090630859253,10.681694280092408,11.968910771081546,11.655938189943788,6.011488095238096,6.073214285714285,7.288496945090398,8.048856566931496,9.142298017426633,9.232853009193397,4.110625,3.687499999999998,4.754183062174437,5.034844116414395,6.692759265723522,5.630101668941219,3.50375,3.4000000000000017,3.707612843649193,3.215679434594573,8.068385791953489,7.61911714154511,3.6662500000000002,3.475000000000005,3.9881643588330156,3.594842154502533,4.167781486460861,3.9469755340386614,5.185625,5.337500000000002,6.671580205896873,5.7805088410143455,8.809866517683847,9.280724638917736
2008-08-31,MONSOON,3.4166666666666665,4.125,8.05,3.3316666666666666,2.45,3.01,2.62,2.645,4.36375,4.453333333333336,4.300525497454454,4.820770028281584,3.0090634680583133,2.8286727081721716,5.9475,5.822500000000009,5.752530775042127,5.720171182408728,4.866451096948033,4.073671064293158,9.20375,9.537500000000001,9.436543785155518,9.827197684302558,8.339769778645339,9.312332989358481,6.20202380952381,5.933988095238095,5.705764833720905,5.893104296154371,3.702167138063846,3.6195756951572613,4.561875,3.824999999999998,3.8325098373046624,4.876173730146006,2.6804167269436983,2.4222998735024284,3.52,3.5025000000000017,3.428567706189516,2.820232994086737,3.48618645781177,3.7617885660819925,3.82046875,3.475000000000005,3.440898615299809,3.4459723097432495,2.3921208196350956,2.5319327766646125,5.2825,5.161250000000002,5.0609481235381235,5.551336534642099,3.9982229365381254,3.526488398168537
2008-11-30,POMKH,4.11,4.654999999999999,8.344999999999999,5.412857142857144,5.085,3.51,3.55,3.1950000000000003,4.757916666666667,4.335000000000003,4.224315298472673,4.569471567334814,3.668094767721444,4.045580731559026,6.034999999999999,5.923750000000009,5.313518465025275,5.307208764279068,5.592646889511036,4.861104135792724,8.60125,9.748750000000001,8.99992627109331,9.285518338701031,8.631171568549897,8.366516453431819,6.356595238095238,6.088988095238095,5.5886017573754,5.451806394472684,4.9295328887488505,4.704892031807966,4.87625,4.3962499999999975,4.3335059023827975,4.90479461355092,3.547039208762546,3.0014139051835507,4.30375,3.5050000000000017,3.4611406237137095,2.853031420733755,3.4963079231773913,3.7378451844403755,3.9028125,3.8575000000000053,3.4845391691798855,3.526087995670751,2.1697397198690265,2.2105101607422624,5.478125,5.210000000000002,4.314568874122874,5.38242599107357,3.64079699277349,2.8448445463620833
2009-02-28,POMRB,5.0633333333333335,6.215,6.750000000000001,7.0900000000000025,5.074999999999998,5.32,4.00875,6.83,5.20375,4.392500000000003,4.559922512416938,4.538694788408682,4.911844106186775,5.132526081845147,6.57125,5.971250000000008,5.674111079015166,5.4749504857405045,6.711856726433168,6.425999727846513,8.31,8.658750000000001,8.099955762655986,8.236717696737555,9.219224189339212,10.128684182743054,6.4670297619047625,6.315059523809525,6.189161054425242,6.1969769047455046,6.6312242667683075,6.596024096904595,5.275,4.727499999999997,4.630103541429678,4.931679346679581,6.730079947914808,5.589920924258136,5.245,3.535000000000002,4.204684374228226,3.900829118766079,5.399379722782811,5.932179179102099,4.1671875,3.783437500000005,3.694223501507931,3.708856479150563,4.694791362316446,4.496959803558713,6.203749999999999,5.355000000000002,5.320741324473724,5.510319077398786,5.126324402754644,5.80988342395116
2009-05-31,PREMON,7.903333333333332,9.4,11.03,9.758,7.49,8.45,5.91,9.735,5.072291666666667,5.123333333333336,5.8972868407834955,5.092404264961805,6.630175838161175,6.348304001229415,7.058125,6.098750000000008,7.1644666474091,6.743323339880457,9.347303603392435,8.818973317664106,8.369375,8.543750000000001,9.271973457593592,9.227007761653732,11.115861448863885,10.955003749375653,6.649738095238096,6.398130952380955,7.616696632655145,8.55692550704034,9.600892550667892,9.710560202228042,5.254999999999999,5.024999999999998,5.774062124857807,5.130195205090224,6.6659368240284635,6.354237337112423,5.36625,5.072500000000002,5.902810624536935,6.698150624187389,7.659492577733827,6.663923122018515,4.5034374999999995,4.022187500000005,4.580534100904758,4.367843068849636,4.868516431661819,4.46196235161047,6.869375000000001,5.601250000000002,7.086444794684235,5.855587765753598,8.884747722020293,9.43421261827504
2009-08-31,MONSOON,4.06,7.9049999999999985,6.1800000000000015,3.882857142857144,4.45,4.39,3.78,7.465,4.726249999999999,5.2841666666666685,5.162372104470097,4.869532660204966,3.7495504114285634,4.263319824915412,7.106249999999999,7.043750000000008,7.4606799884454595,7.391211543226145,4.892607017583456,4.4097120271881245,8.6625,8.076250000000002,8.035184074556156,8.004575727374931,7.585764615831986,8.509587268329692,6.921255952380952,6.535928571428574,6.123160836735944,6.616229415303504,4.097778179611938,3.90715898885932,4.8825,5.524999999999998,5.244437274914684,5.109659989552842,2.736046280146673,2.748943635064885,5.260000000000001,5.417500000000002,5.2976863747221605,6.695051749344488,3.42371610449136,3.624790020833292,4.6946875,4.312187500000005,4.2603204605428555,4.427972046046754,2.794117019654342,2.9894119165097552,6.77875,6.806250000000002,7.237866876810541,5.997426418685949,4.4700980009164155,3.8776600222557125
2009-11-30,POMKH,2.415,4.77,10.69,6.323333333333332,2.925,3.1,5.08,3.7,4.592083333333333,4.860416666666668,4.063423262682058,4.344628767600941,4.391854132192401,4.286548742591026,7.15625,7.072500000000009,6.384407993067276,6.854155905485127,5.618779689974067,5.72871375813473,8.70375,8.662500000000001,9.097110444733694,8.95589221680304,7.595947830100675,7.5108351586549045,7.106714285714286,6.763547619047621,6.203229835374899,6.468669563426872,5.402723123466856,5.117372450285089,4.795,4.984999999999998,4.31666236494881,4.978735902937742,3.8978551384729307,4.462870810422519,5.13125,5.315000000000003,4.418611824833297,5.700538847672413,3.514490547696324,3.6943954674888992,4.694687500000001,4.694687500000005,4.588192276325714,4.788260975359205,3.3356188171651358,3.2878386656047156,6.69875,6.932500000000002,5.822720126086325,5.834343560027244,6.009324351893497,5.693086029344572
2010-02-28,POMRB,3.99,6.485,6.750000000000001,8.351666666666668,4.255,4.88,4.00875,5.6,4.525208333333333,4.592083333333335,4.034053957609235,4.171342440434775,4.956995586839753,5.091875050108452,7.148124999999999,7.140000000000009,6.424644795840366,6.885236610914349,6.738041477793789,6.440400583415106,8.745000000000001,8.662500000000001,8.158266266840217,8.069080051495888,9.035780112750732,9.36946686940663,7.472107142857143,7.078964285714287,7.062604567891607,7.607751409497208,7.322465750435553,7.171535517997525,4.803125,4.779999999999998,4.291997418969286,4.94192947753717,6.612389038448334,4.170753689220743,4.9125,5.205000000000003,4.6031670948999786,5.617966365072092,5.39851550876842,5.81897960930758,4.694687500000001,4.694687500000005,4.356415365795428,4.8216001301058276,4.690484109698952,4.471721791331975,7.01375,6.625000000000002,5.733632075651794,5.832038536286118,6.681981043100472,6.390004430645034
2010-05-31,PREMON,7.903333333333332,9.53,11.36,9.98,7.61,7.86,5.91,10.325,4.8427083333333325,4.592083333333335,5.5817657078988745,4.801291372112342,6.649233347935066,7.3459122221251905,7.3825,7.172500000000008,7.666786877504219,7.930591628830722,9.373553124409014,9.065646777827688,8.745,8.745000000000001,9.43895976010413,9.320843051250678,10.978643286776197,10.773130088148141,7.864958333333334,7.134464285714286,8.229562740734965,9.515437641920675,10.57657473399748,10.479012858306113,5.621875,4.809999999999997,5.619198451381572,5.144044094876365,6.770050176906721,6.5068368955944695,4.9675,5.057500000000003,5.9059002569399865,7.0695494693098775,7.637884896277663,6.9763864803552424,4.6946875,4.694687500000005,4.977849219477257,5.310015890708022,5.878282547881439,5.379779078747959,7.9075,6.772500000000001,7.570179245391076,6.199155489086897,9.225300809104082,8.814820747275814
2010-08-31,MONSOON,3.525,7.71,6.1800000000000015,6.5840000000000005,4.395,3.23,3.78,9.395,5.2870833333333325,4.458333333333335,4.759059424739325,4.543632374494383,3.5432538942408778,3.4758589240269684,7.8062499999999995,7.123750000000009,7.684072126502532,8.219467009741086,4.919205363788953,5.71414432263508,9.021249999999998,8.745000000000001,8.135375856062478,8.137052693807707,7.566280355080882,8.08345510624231,8.072770833333333,7.80975,7.571337644440979,8.65557710802385,4.6976391445871855,4.26575563388499,6.818125,4.796249999999997,5.129519070828943,5.114872800904236,2.9325179331048385,3.8396920625852666,5.225,4.767500000000003,4.835540154163992,5.746607319196106,3.372918075171256,3.7580871517547836,4.89046875,4.694687500000005,4.4987095316863535,5.188925890814026,3.6543566201923667,3.5168049084504287,9.011875,7.255,8.300107547234646,6.465912960435097,4.9194598428105945,5.281523708026888
