Date,Season,Mirpur,Akhnoor,Mirpur_Trend,Mirpur_SMA,Mirpur_EWMA,Mirpur_DES,Mirpur_TES,Mirpur_ARIMA,Akhnoor_Trend,Akhnoor_SMA,Akhnoor_EWMA,Akhnoor_DES,Akhnoor_TES,Akhnoor_ARIMA
2001-05-31,PREMON,4.0130565862708725,7.809999999999999,2.952553680931091,2.952553680931091,3.373203591583289,3.1781304987363246,4.1175152509668935,3.9440823807916385,6.650002497502497,6.911742424242424,7.213185428608623,6.983344493152778,8.205104194115025,7.758399267392683
2001-08-31,MONSOON,1.8639136925166335,5.4192307692307695,2.952553680931091,2.952553680931091,2.769487631956627,3.1506986833519814,1.9684325886849765,1.8803952933301236,6.567271166333666,6.755716783216783,6.495603564857482,6.567935938117176,5.568380096806166,5.741804098942952
2001-11-30,POMKH,2.6480573201881734,5.8842857142857135,2.952553680931091,2.952553680931091,2.7209155072492455,3.1369002042550447,2.7523460656292578,2.626679933596553,6.918646978021978,6.544288211788212,6.251076424628774,6.388730100519391,6.136348935094263,6.019292700842884
2002-02-28,POMRB,3.2851871247486844,7.2475,2.952553680931091,2.952553680931091,2.946624154249021,3.1341809303341774,3.3889254744284423,3.236155479817022,7.413594322344322,6.590254120879122,6.6496458547772646,6.62367933244772,6.821413362757904,6.719622687615703
2002-05-31,PREMON,4.0130565862708725,10.437142857142858,2.952553680931091,2.952553680931091,3.373197127057762,3.1440807990601805,4.115946240785626,3.9564970070600642,7.66074945887446,7.247039835164837,8.164644655723501,7.652381690364614,8.077305884733295,7.800545752312685
2002-08-31,MONSOON,1.8639136925166335,6.751666666666668,3.0361910046232197,2.952553680931091,2.7694837532413104,3.1170668071902066,1.9657951754654097,1.8754311483094148,7.7524959415584425,7.580148809523812,7.599453460100769,7.41560372597343,7.198123846511405,7.3914084107483875
2002-11-30,POMKH,2.6480573201881734,6.52909090909091,2.9850712550314893,2.952553680931091,2.7209131800200557,3.103688911761014,2.748703816642829,2.6285138463677042,7.414519751082251,7.74135010822511,7.171308439696825,7.18248116200276,7.576422189752514,7.449534361552809
2003-02-28,POMRB,3.954285714285714,7.336666666666666,2.9391106844687656,3.1198283283153483,3.214262193726319,3.1129051247861232,3.3843413982432597,3.2421297009426007,6.9985323426573425,7.763641774891778,7.237451730484762,7.228720980550367,7.754137465924596,7.272160354066953
2003-05-31,PREMON,2.935,7.644166666666666,3.175650022166379,2.8503141817476303,3.1025573162357913,3.1046529068860895,4.147551775904864,4.16432980033616,6.930646777242366,7.06539772727273,7.4001377049575225,7.345163223768566,8.471874149438927,8.73515147595662
2003-08-31,MONSOON,2.5742857142857143,6.216743589743589,3.3602232142857145,3.027907187189901,2.8912486754557607,3.09029948038859,1.9366566218768346,1.7344767489064814,6.989934500854538,6.931666958041959,6.926780058871949,7.047020050679752,5.559166490445025,5.342824316425498
2003-11-30,POMKH,3.83,6.520929462694169,3.547142857142857,3.3233928571428573,3.2667492052734564,3.0976717837922303,2.758193992249563,2.5441517517830947,7.238402200434369,6.929626596442773,6.764439820400837,6.910454837536767,6.64179445918375,5.996183648447688
2004-02-29,POMRB,4.248928571428571,7.8191299019607845,3.6271428571428577,3.3970535714285717,3.6596209517355023,3.1123274161692995,3.4585617519068688,3.7200937843555097,7.430956791982526,7.050242405266303,7.186315853024816,7.1591586556237505,7.410558096274104,7.414973656019686
2004-05-31,PREMON,4.135714285714287,9.149445028011202,3.445446428571429,3.697232142857143,3.850058285327016,3.1250914706236412,4.236761318071545,4.728883880578703,7.464217134581104,7.4265619956024365,7.97156752301937,7.698537435025167,8.655276857773622,9.523091623575539
2004-08-31,MONSOON,2.013571428571429,6.251901960784313,3.297008928571429,3.557053571428572,3.115463542624781,3.101390352413269,2.0911966939109297,2.0788980507565817,7.535985560701551,7.435351588362617,7.283701298125347,7.315162817598957,6.585872890935963,6.576647324565021
2004-11-30,POMKH,2.937142857142857,6.751853832442068,3.110089285714286,3.333839285714286,3.0441352684320115,3.093708654737549,2.8797970541733195,2.5686629372746537,7.574546047396231,7.493082680799592,7.0709623118520355,7.168781412510779,7.035932953427382,6.260738167128286
2005-02-28,POMRB,3.954285714285714,8.162352941176469,3.030089285714286,3.260178571428572,3.408195446773493,3.103628379690791,3.5285981256051255,3.5170310243781335,7.598632575757575,7.578888440603512,7.507518563581809,7.440461025880828,7.700572519999486,7.434291458110253
2005-05-31,PREMON,2.935,9.114705882352943,3.211785714285714,2.96,3.2189172680640956,3.0960679897505528,4.288358329131341,3.937125025428598,7.67675623885918,7.570203654188948,8.150393491090263,7.895143917858211,8.97923624583702,8.484860680435567
2005-08-31,MONSOON,2.5742857142857143,6.479333333333331,3.3970535714285717,3.1001785714285717,2.9610646465527433,3.082393675354332,2.074259225965138,1.9942217516596972,7.772406862745098,7.627061497326202,7.48196942798749,7.520180637430877,6.680996989369215,6.924712246126516
