Date,Season,Vijaypur,Sheopur,Karahal,Vijaypur_Trend,Vijaypur_SMA,Vijaypur_EWMA,Vijaypur_DES,Vijaypur_TES,Vijaypur_ARIMA,Sheopur_Trend,Sheopur_SMA,Sheopur_EWMA,Sheopur_DES,Sheopur_TES,Sheopur_ARIMA,Karahal_Trend,Karahal_SMA,Karahal_EWMA,Karahal_DES,Karahal_TES,Karahal_ARIMA
2000-08-31,MONSOON,7.3112499999999985,11.54,4.285714285714286,9.05767361111111,7.75611111111111,7.593424764496573,8.856306909067483,5.3597107013809575,5.693423668607999,14.164270833333333,12.83625,11.926064887941905,11.761475563050556,8.854855566449725,8.008545159578516,7.965863095238094,7.3323809523809516,7.062926302125083,7.9420484705705645,3.9532662584116665,3.788609895690733
2000-11-30,POMKH,9.046666666666667,16.333333333333332,7.1000000000000005,9.90451388888889,8.663090277777776,8.17472152536461,9.573487034872025,8.618407003870832,6.960620187875939,15.20802083333333,13.86208333333333,13.688972266098476,13.330021103195225,13.940196468261533,12.410949127815542,7.943244047619048,8.05779761904762,7.07775578127505,7.940669316074377,6.188244357889533,5.044643563874688
2001-02-28,POMRB,11.756666666666668,17.035,8.961666666666668,10.18703125,9.452256944444443,9.607499581885435,11.516899003987497,10.172746668045981,9.163016550562281,15.843958333333333,14.46645833333333,15.027383359659085,14.60496206664803,15.374205124807835,15.845323172313453,7.867559523809525,7.873928571428571,7.831320135431697,8.085497105532644,8.77552743692538,8.710920592969767
2001-05-31,PREMON,13.312499999999998,18.89,11.702857142857141,9.954333333333334,10.356770833333332,11.08949974913126,13.554936799041034,13.101367894104179,12.169682343882558,15.718854166666667,15.949583333333333,16.57243001579545,16.078695837745983,17.130086297407225,15.480474633923071,7.916488095238096,8.012559523809523,9.379934938401874,8.448461166790116,12.060174844886365,11.856115433969002
2001-08-31,MONSOON,5.953333333333334,10.695,3.125714285714286,9.600819444444443,10.017291666666665,9.03503318281209,10.505855069654821,8.902069622607971,8.791684753185706,15.380833333333333,15.738333333333335,14.22145800947727,14.26164031339209,13.824229231475623,13.94687518255672,8.373244047619046,7.722559523809524,6.878246677326839,8.110822977827363,4.424729114301051,4.206025284817861
2001-11-30,POMKH,8.543000000000001,16.1775,8.651428571428571,9.503284722222222,9.891374999999998,8.838219909687254,10.004840804409133,8.251617062080125,6.367337114405313,15.183541666666665,15.699375000000003,15.003874805686362,14.928308890989664,16.234949500009332,14.35580405696394,8.800892857142857,8.110416666666667,7.587519434967532,8.215465782967373,6.073120109778903,5.013879639826954
2002-02-28,POMRB,9.432222222222222,14.486666666666665,11.064285714285717,10.38120138888889,9.310263888888887,9.075820834701242,10.137339096057568,9.696764603521565,9.323408504297987,16.780833333333334,15.06229166666667,14.796991550078483,14.792901256756153,16.40581957807711,16.307426892182527,9.897678571428573,8.63607142857143,8.978225946694806,8.511374593690029,9.25960677383799,9.516522447524277
2002-05-31,PREMON,14.856666666666667,19.86,13.021428571428574,11.906416666666665,9.696305555555554,11.388159167487412,13.272798791602433,11.150792313115485,10.618582416616842,19.3484375,15.30479166666667,16.82219493004709,16.533120409055016,16.57711538657454,15.084608233832704,11.396428571428572,8.965714285714288,10.595506996588313,8.962119844390127,13.126194811463764,12.833164849788158
2002-08-31,MONSOON,11.4325,22.50333333333333,10.581428571428573,14.004208333333334,11.06609722222222,11.405895500492447,13.170392145070158,9.739391872857988,9.359718135171116,22.714791666666667,18.256875,19.09465029136159,18.582601491686358,12.864507613614641,14.137500391328834,12.140491071428572,10.82964285714286,10.589875626524417,9.208997874784817,5.581553128419049,4.584411501046115
2002-11-30,POMKH,15.265555555555556,24.91,13.185714285714285,15.598972222222223,12.74673611111111,12.949759522517692,15.201509420172785,12.791927133580737,10.960522344001076,27.002083333333335,20.44,21.420790174816954,20.755762436548086,21.690556604869485,21.951478821059425,12.801651785714286,11.963214285714287,11.628211090200363,9.661297909638854,9.494689404215585,9.658107715026311
2003-02-28,POMRB,19.492,32.685,12.482500000000002,15.37382638888889,15.261680555555554,15.566655713510617,18.825882902571834,15.97794053038259,14.393954833578807,28.952604166666667,24.989583333333336,25.926474104890175,24.83856638515136,22.91694953503628,20.69414829433267,12.772857142857143,12.317767857142858,11.969926654120219,10.04953449453398,13.081249597391398,12.136815312488368
2003-05-31,PREMON,17.555,35.96,16.892500000000002,13.883069444444445,15.936263888888885,16.36199342810637,19.807404455745374,20.44631240580339,19.079361611291446,28.388437499999995,29.014583333333338,29.939884462934103,28.650403188741162,29.49352623569647,28.746287392849155,11.517678571428572,13.285535714285714,13.938955992472131,10.791828440735424,16.08369280909173,13.557079962660698
2003-08-31,MONSOON,6.933,22.0075,6.48,11.652277777777778,14.811388888888887,12.59039605686382,14.26777052751436,13.772068140362098,11.821359609928354,26.715208333333333,28.890625000000007,26.766930677760463,26.417189829051928,28.627075185385877,28.118745450317533,10.212544642857143,12.260178571428572,10.955373595483278,10.67405494992113,8.86752344847089,8.038114016300892
2003-11-30,POMKH,7.838999999999999,20.8925,7.245714285714286,9.833069444444444,12.954749999999995,10.689837634118291,11.365408652475633,10.018139854915884,8.37257517341176,24.4625,27.88625000000001,24.417158406656277,24.562495372987907,28.724815590498793,22.904422751276957,8.923348214285715,10.775178571428572,9.47150987157568,10.602261290542788,10.12454474980214,8.478432424233809
2004-02-29,POMRB,9.072222222222221,23.316666666666666,7.98142857142857,9.230124999999997,10.349805555555552,10.042791469359862,10.289606409668236,9.492451023290352,9.748811714879517,23.3140625,25.544166666666676,23.976961710660433,24.16292090761587,26.451473156948147,23.695040105653273,8.068928571428572,9.649910714285715,8.875477351516835,10.576011361769798,11.348935061525221,9.233992908542026
2004-05-31,PREMON,13.42111111111111,27.30666666666666,11.080000000000002,9.04098611111111,9.31633333333333,11.394119326060363,12.022507511397407,10.822281352571432,10.825979033378172,23.301979166666662,23.380833333333342,25.308843693062926,25.257624673895037,26.50097769578993,26.244845855351002,7.8878571428571425,8.196785714285717,9.757286410910101,10.789694521325014,13.355880838779974,12.106119970947331
2004-08-31,MONSOON,6.243333333333332,21.473333333333333,5.457142857142856,8.810694444444444,9.143916666666662,9.33380492896955,9.178018869902662,8.52774647583597,7.7338754698246515,23.075416666666666,23.247291666666676,23.77463954917109,23.994384226222763,20.17580618016985,21.459161668059593,8.1175,7.941071428571431,8.037228989403204,10.534030921259744,5.0306220424841825,4.7506865884264196
2004-11-30,POMKH,7.0155555555555535,21.33,6.820000000000001,8.302916666666667,8.93805555555555,8.406505179603952,7.949794951997975,8.407251471225642,7.720613665662212,22.49083333333333,23.356666666666676,22.796783729502657,23.111212388035902,23.55632248598689,21.390715004859928,8.734464285714287,7.83464285714286,7.5503373936419225,10.377046627335046,7.299423703264279,7.641659970485968
2005-02-28,POMRB,8.053333333333335,21.066666666666666,10.244285714285716,8.097083333333334,8.683333333333328,8.265236441095706,7.810882963071234,8.50973865227129,8.96230003722016,21.94291666666666,22.794166666666676,22.10473690436826,22.438213744839658,24.846491966759004,24.37029157995124,8.94767857142857,8.400357142857146,8.627916721899439,10.4884253260715,9.386512824226443,8.69034522101144
2005-05-31,PREMON,10.377777777777778,24.88,13.752857142857142,8.605847222222224,7.922499999999996,9.110252975768535,9.00043126783768,9.810709503924699,10.51930722418394,21.5825,22.18750000000001,23.214842142620956,23.292165634292182,25.485228680115434,24.927683296924698,8.979107142857144,9.068571428571431,10.67789289028252,10.87702157533111,12.912643905776978,12.950560656915997
2005-08-31,MONSOON,7.6400000000000015,19.516666666666666,4.490000000000001,9.169861111111112,8.271666666666663,8.522151785461123,8.24387314803407,5.895355970089635,5.155085446354774,21.41208333333333,21.698333333333345,21.73557195223924,22.02994751300919,18.636512539195795,19.299955865772866,9.06232142857143,8.826785714285718,8.202735734169512,10.504785861976499,5.707766485714803,6.2622874073895565
2005-11-30,POMKH,9.689,20.40333333333333,8.038571428571428,9.610847222222223,8.940027777777775,8.988891071276674,8.911837714942187,8.989003513601087,8.62457657102465,21.458125,21.46666666666668,21.202676504676873,21.498172707518798,21.043903549304275,19.50393340740618,9.116964285714287,9.131428571428575,8.137070011930277,10.411262064168676,7.385370055662828,6.935718098355743
2006-02-28,POMRB,9.892000000000001,20.63,9.691428571428572,9.915000000000001,9.399694444444442,9.350134642766005,9.42098515496871,10.760118678658978,10.790702104901797,22.751666666666665,21.357500000000012,20.973605902806124,21.22411880429905,22.69933595915374,20.791444803007927,9.478214285714285,8.99321428571429,8.758813435729596,10.444619938709662,9.879690797595156,9.656634506791946
2006-05-31,PREMON,12.067,25.685,14.742857142857144,10.00325,9.821999999999997,10.436880785659604,10.916012743272061,11.732649061368557,11.855460562594974,24.22479166666667,21.558750000000014,22.858163541683673,22.76436798287124,24.813669132827666,23.362116477015608,9.789285714285715,9.24071428571429,11.152430918580615,10.881654902862476,13.02972339348883,12.837564247885762
2006-08-31,MONSOON,8.383999999999999,29.06,6.3900000000000015,10.1895,10.007999999999997,9.615728471395762,9.780726899424916,7.631647457324365,6.93112447897176,25.380625000000002,23.944583333333348,25.338898125010203,24.930906921010575,18.958871888837507,20.831602902253444,10.283214285714285,9.71571428571429,9.24745855114837,10.634409379953846,6.138701672612559,6.326680967707816
2006-11-30,POMKH,9.651,22.645000000000003,8.627142857142857,10.441291666666666,9.998499999999998,9.629837082837458,9.781792653583802,9.933703779172887,9.368890480420088,26.828125,24.505000000000017,24.261338875006125,24.177548517767303,25.165539855116435,25.65946832245902,10.504464285714286,9.862857142857147,8.999332273546164,10.561271292379983,8.344502664409184,8.134299766664029
