Date,Season,Model Town,Narela,Saraswati Vihar,Model Town_Trend,Model Town_SMA,Model Town_EWMA,Model Town_DES,Model Town_TES,Model Town_ARIMA,Narela_Trend,Narela_SMA,Narela_EWMA,Narela_DES,Narela_TES,Narela_ARIMA,Saraswati Vihar_Trend,Saraswati Vihar_SMA,Saraswati Vihar_EWMA,Saraswati Vihar_DES,Saraswati Vihar_TES,Saraswati Vihar_ARIMA
2001-02-28,POMRB,2.58,3.801,6.672857142857143,2.5975,2.58,2.5365025714707303,2.6267546013322196,2.954101050658494,2.867771411948471,3.746272727272727,3.685931818181819,3.657277625900903,3.7032397660227643,3.6307581822714825,3.4592289238555893,6.48453125,6.169955357142857,6.196452960888896,6.215589951387678,6.288116787544804,6.1025289260252
2001-05-31,PREMON,3.1,4.183636363636364,7.267142857142857,2.6399999999999997,2.535,2.7619015428824385,2.9084289099290173,3.0400084780512984,3.071225900482353,3.811397727272727,3.686159090909091,3.8678211209950875,3.8324053776039806,4.6221787115453985,4.0390515002709995,6.694791666666667,6.3878125,6.624728919390481,6.674432145273696,6.883948880627869,6.680593047779695
2001-08-31,MONSOON,2.3,3.43,6.36,2.6850000000000005,2.66,2.577140925729463,2.6488714478045865,2.3092470433749637,2.2580542481382215,3.840784090909091,3.8063863636363635,3.692692672597053,3.8207650552001082,3.879383264830818,3.852741087382122,7.023226190476191,6.58125,6.518837351634289,6.5124361584634505,6.253214769060612,6.535923925262388
2001-11-30,POMKH,2.5,3.8510000000000004,6.933333333333334,2.755,2.62,2.5462845554376776,2.6169774777357007,2.637264801618857,2.3209883064547765,3.898954545454546,3.8164090909090906,3.7560156035582315,3.8788497106261812,3.6581595730098333,3.7959434470355626,7.445476190476191,6.808333333333334,6.684635744313907,6.684399256989094,6.4138748698320285,6.271991657616282
2002-02-28,POMRB,3.1,3.996,8.392000000000001,2.8850000000000002,2.75,2.7677707332626067,2.9034259057378464,2.8954213605608783,2.7689878617915533,4.112,3.8651590909090907,3.8520093621349387,3.951783112589679,3.8697106790712295,3.9296564149798376,7.993333333333334,7.2381190476190485,7.3675814465883445,7.439411666765876,7.145508040428332,7.035679080540368
2002-05-31,PREMON,3.14,4.454,8.926,3.0725,2.7600000000000002,2.9166624399575642,3.070187614992686,3.4508272720746462,3.4783367421409657,4.299874999999999,3.9327499999999995,4.092805617280963,4.087934226252712,4.8523278905446645,4.293099605497846,8.572666666666667,7.652833333333334,7.990948867953007,8.091996137030334,8.27129991886097,8.201671287586265
2002-08-31,MONSOON,3.3,4.863999999999999,9.084,3.07890625,3.01,3.0699974639745387,3.236258764764771,2.4192105211880426,2.3802913827956775,4.3350937499999995,4.29125,4.401283370368578,4.2702176171217765,4.117587061501747,3.6451241624429125,8.915999999999999,8.333833333333335,8.428169320771804,8.518379215633756,7.807536563363989,7.91222738599426
2002-11-30,POMKH,3.0,3.92,8.844,2.9365625,3.135,3.0419984783847234,3.169853854310796,3.469338979210191,3.1661488103745214,4.436755681818181,4.3085,4.208770022221147,4.273103635779342,4.135871298012912,4.385243294400045,8.901625,8.811500000000002,8.594501592463082,8.641303647590018,8.687525073612948,8.670582539036626
2003-02-28,POMRB,2.65125,4.208749999999998,9.228,2.6153125,3.0228125,2.885699087030834,2.959889794068791,3.458074778859932,3.3784182259875513,4.269323863636363,4.3616875,4.208762013332688,4.322207210863449,4.265560881515724,4.299465636064543,8.461,9.020500000000002,8.84790095547785,8.882274534729035,9.195930719722469,8.883559077977948
2003-05-31,PREMON,2.45,5.054545454545455,7.975,2.2553125,2.8503125000000002,2.7114194522185002,2.750896429571323,3.192901742748232,3.1900779073257426,3.988642045454545,4.511823863636364,4.5470753898177945,4.500689058775826,5.211504659924714,4.530688312843136,7.9051785714285705,8.782750000000002,8.49874057328671,8.444995858257798,9.574877243530329,9.442041018641426
2003-08-31,MONSOON,1.42,2.9240000000000004,6.509999999999999,2.04265625,2.3803125000000005,2.1948516713311,2.1242004588083643,1.810731294121204,1.8974888378558636,3.889025568181818,4.0268238636363645,3.897845233890677,4.30866468573223,4.525107953407852,4.386471592829034,7.367071428571428,8.13925,7.703244343972026,7.542893068104075,7.7245944907233435,7.853052917821624
2003-11-30,POMKH,2.0,3.6145454545454543,6.971428571428571,2.01,2.1303125000000005,2.11691100279866,2.0961933672101294,1.8292405564873158,1.526038502081315,3.752931818181818,3.950460227272728,3.784525322152588,4.256533496340143,4.073203488306339,4.071747127239512,7.013303571428571,7.671107142857142,7.410518034954643,7.261803640633578,7.072632821778922,7.270026277322746
2004-02-29,POMRB,1.95,3.717272727272727,6.795714285714286,2.2125000000000004,1.9550000000000003,2.050146601679196,2.056631267098807,2.33730551562127,2.1595236454848123,3.912647727272727,3.82759090909091,3.7576242842006433,4.228691670472353,4.154264930422846,4.0825102332015915,6.940892857142857,7.0630357142857125,7.164596535258501,7.029320971594564,7.422570992418848,7.754433920266452
