Date,Season,Kharar,Dera Bassi,Majari,Kharar_Trend,Kharar_SMA,Kharar_EWMA,Kharar_DES,Kharar_TES,Kharar_ARIMA,Dera Bassi_Trend,Dera Bassi_SMA,Dera Bassi_EWMA,Dera Bassi_DES,Dera Bassi_TES,Dera Bassi_ARIMA,Majari_Trend,Majari_SMA,Majari_EWMA,Majari_DES,Majari_TES,Majari_ARIMA
1999-11-30,POMKH,5.39,2.6733333333333333,15.04,6.3215,5.5717500000000015,5.554545332052821,5.705300360573238,5.14947012241895,5.5627871592439115,3.02925,2.782916666666667,2.744581778159987,3.2277616244976612,4.320759113866815,2.9719144590732047,15.566875,15.185,15.228819756823674,15.097341278105656,14.7104387522095,14.580080014009724
2000-02-29,POMRB,6.6720000000000015,3.22,15.4,6.64625,6.081000000000001,6.001527199231694,6.036168484283693,5.409011474201674,5.209652122132529,3.1068333333333333,2.9866666666666672,2.9347490668959924,3.269874213060327,3.6196887118450976,2.9572650464366745,15.2075,15.44125,15.297291854094205,15.079758394010424,15.012902125235668,14.661466053611512
2000-05-31,PREMON,7.866,4.024,16.330000000000002,6.8855,6.562000000000001,6.747316319539015,6.610751024313994,7.2197033687215875,6.728056355215758,3.1886666666666663,3.071833333333334,3.3704494401375955,3.4725955398830743,3.5415751071993884,3.091622179860467,14.93375,15.692499999999999,15.710375112456525,15.1304527882464,16.01794988366379,15.785005724804007
2000-08-31,MONSOON,6.994,2.65,12.12,7.085750000000001,6.730500000000001,6.845989791723409,6.789132511024151,6.866688656509507,6.800928987741878,3.3392500000000003,3.1418333333333344,3.082269664082557,3.346866456940942,2.935301789853919,3.398717311058168,15.309375,14.7225,14.274225067473914,14.885878721485998,16.64798015496741,16.33945753123813
2000-11-30,POMKH,6.630000000000001,3.048,16.73,7.158250000000001,7.0405000000000015,6.759593875034046,6.818560205409323,6.296068778260348,5.775290067953921,3.65,3.235500000000001,3.068561798449534,3.329445230927613,4.418374584149593,3.0433769870233083,15.24375,15.145000000000001,15.256535040484348,14.971365537630655,15.14473377711355,12.411848401293478
2001-02-28,POMRB,7.0340000000000025,4.05,16.715,7.19875,7.131000000000003,6.869356325020428,6.952513122271352,6.8295072765368845,6.70933489512925,3.89375,3.443000000000001,3.4611370790697205,3.5259221204925324,3.7824290572086827,3.1037385485469504,15.20125,15.47375,15.839921024290609,15.057689554610382,15.634392087347567,18.089625343960293
2001-05-31,PREMON,8.084,5.68,14.49,7.01325,7.185500000000003,7.355213795012257,7.342763853003336,8.144039879234152,7.521128565698307,3.9947500000000002,3.857000000000001,4.3486822474418325,4.026179937718334,3.861164447340269,3.4431011325812495,15.04125,15.013750000000002,15.299952614574366,14.988281419675003,16.65567468702784,15.473793948906174
2001-08-31,MONSOON,7.1,2.944,13.62,6.92625,7.212000000000003,7.253128277007354,7.354935211216949,7.434391067107567,7.47284485684308,4.102,3.9305000000000008,3.7868093484650993,3.8534261666362783,3.569033708752663,4.134999363448356,14.435625000000002,15.388750000000003,14.62797156874462,14.860043406583525,13.060319280541563,11.507229132631085
2001-11-30,POMKH,5.04,3.562,13.95,7.221071428571428,6.8145000000000024,6.367876966204412,6.790761950496236,6.760412240915515,6.479485214963705,4.076,4.059000000000001,3.696885609079059,3.844432757262495,4.972247621123182,3.4876444639877624,14.296249999999999,14.693750000000001,14.356782941246772,14.75848888398929,17.11270008263817,18.04597115190117
2002-02-28,POMRB,7.928,4.394,14.65,7.541851190476191,7.038000000000001,6.991926179722647,7.180856791583497,6.584643630684255,6.231459136135938,4.288375,4.1450000000000005,3.9757313654474356,4.011972078350049,4.3269293624060134,3.594839225141757,14.32125,14.177500000000002,14.474069764748062,14.709785309752007,16.660323413334616,14.163762670280095
2002-05-31,PREMON,9.54857142857143,5.127999999999999,15.44,8.243726190476192,7.404142857142859,8.01458427926216,7.917504037488665,8.212398089037308,8.383998847219125,4.691749999999999,4.007000000000001,4.436638819268461,4.300769631791978,4.358534267269645,3.8792994001524552,14.40125,14.415000000000001,14.860441858848837,14.719927851366895,14.687954767373999,14.792860245703082
2002-08-31,MONSOON,8.201666666666666,5.195,12.87,8.804642857142857,7.679559523809525,8.089417234223962,8.082504998072666,7.898625690716809,8.169660032976832,4.7829375,4.569750000000001,4.739983291561077,4.5468913827101085,3.819734034637418,4.239245922561774,14.650624999999998,14.227500000000001,14.064265115309302,14.55123221119236,13.641916257465004,14.023080745103332
2002-11-30,POMKH,9.553333333333336,4.537999999999999,15.34,8.67357142857143,8.807892857142859,8.674983673867711,8.579426736570746,7.10568067133023,6.973381741838048,4.8005,4.813750000000001,4.6591899749366465,4.60664364106102,5.69314720296218,4.440857032564948,14.670625000000001,14.575,14.574559069185582,14.561087351545288,14.508738281560571,13.231786286546576
2003-02-28,POMRB,7.901999999999999,4.1475,15.255,8.345541666666668,8.80139285714286,8.365790204320627,8.484099539934661,9.034694933879752,9.459785821486662,4.645437500000001,4.752125000000001,4.454513984961988,4.572628069464305,5.107793972668053,4.362220007804933,14.70875,14.726249999999999,14.846735441511349,14.567686322652925,15.442606312166673,15.963132672209136
2003-05-31,PREMON,8.526,5.5150000000000015,14.995,7.9115833333333345,8.545750000000004,8.429874122592377,8.587853900173007,9.843036845405326,8.844176121927866,4.477875,4.848875000000001,4.878708390977193,4.832546434571084,4.89790202504002,4.260859526563216,14.62875,14.614999999999998,14.906041264906808,14.558499239526656,15.927445661467791,14.99892889689041
2003-08-31,MONSOON,6.6000000000000005,3.5675,13.62,7.682833333333334,8.145333333333337,7.697924473555426,8.128058186593755,8.407464414038063,7.761847112800542,4.5523125,4.442000000000001,4.354225034586316,4.632308659016923,4.323285555839772,4.716495519968182,14.348125,14.8025,14.391624758944085,14.454838891945498,13.449967018549831,12.867552827381836
